,Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Merchant,Category,Amount,Payment_Mode,Transaction_Status,Location,year,month,day
170,100170,1855,2023-01-08,Online,Apple Store,Dining,4298.4,UPI,Approved,Marytown,2023,1,8
174,100174,2898,2023-01-08,Online,Amazon,Travel,3630.95,Credit Card,Approved,East Jonathanfurt,2023,1,8
176,100176,2016,2023-01-08,Online,Target,Dining,3089.63,PayPal,Approved,East Kristenhaven,2023,1,8
180,100180,3929,2023-01-08,Online,Uber,Travel,4947.09,UPI,Approved,Port Scottshire,2023,1,8
182,100182,3574,2023-01-08,Online,Uber,Electronics,3036.72,PayPal,Approved,South Elizabethville,2023,1,8
183,100183,3415,2023-01-08,Online,BestBuy,Clothing,1426.95,Credit Card,Approved,Lake Timfort,2023,1,8
187,100187,4934,2023-01-08,Online,Walmart,Travel,3856.9,Debit Card,Approved,Lake Steven,2023,1,8
197,100197,4154,2023-01-09,Online,Uber,Travel,4386.11,PayPal,Pending,East Melissafurt,2023,1,9
200,100200,2340,2023-01-09,Online,Amazon,Dining,4456.24,Credit Card,Pending,Finleybury,2023,1,9
210,100210,3601,2023-01-09,Online,Walmart,Entertainment,1860.15,PayPal,Approved,West Cassandra,2023,1,9
215,100215,2146,2023-01-09,Online,BestBuy,Dining,4838.06,UPI,Approved,North Kelseytown,2023,1,9
218,100218,1298,2023-01-10,Online,Amazon,Groceries,1693.17,Credit Card,Approved,Gouldmouth,2023,1,10
219,100219,4082,2023-01-10,Online,Netflix,Groceries,2271.36,Debit Card,Approved,Woodland,2023,1,10
221,100221,2496,2023-01-10,Online,BestBuy,Electronics,2405.13,Credit Card,Approved,Lake Ronald,2023,1,10
223,100223,3757,2023-01-10,Online,Netflix,Travel,2593.37,Credit Card,Approved,Allenmouth,2023,1,10
224,100224,2220,2023-01-10,Online,Target,Dining,3912.24,Credit Card,Approved,East Davidborough,2023,1,10
225,100225,4799,2023-01-10,Online,Apple Store,Electronics,3738.61,Credit Card,Approved,East Jesusside,2023,1,10
238,100238,4763,2023-01-10,Online,Apple Store,Electronics,2877.61,PayPal,Declined,Port Debbietown,2023,1,10
246,100246,2069,2023-01-11,Online,Amazon,Clothing,2255.35,Credit Card,Declined,South Cristian,2023,1,11
251,100251,4684,2023-01-11,Online,Walmart,Travel,3931.67,UPI,Approved,Nashfurt,2023,1,11
261,100261,3952,2023-01-11,Online,Uber,Groceries,2349.0,UPI,Approved,East Kimberly,2023,1,11
266,100266,1496,2023-01-12,Online,Target,Electronics,4333.74,PayPal,Approved,Loritown,2023,1,12
268,100268,2756,2023-01-12,Online,Target,Dining,2829.97,Debit Card,Approved,Evelynburgh,2023,1,12
270,100270,2746,2023-01-12,Online,Target,Entertainment,3223.8,Debit Card,Approved,Acostahaven,2023,1,12
279,100279,2049,2023-01-12,Online,Uber,Travel,4924.77,UPI,Approved,Ryanside,2023,1,12
283,100283,4665,2023-01-12,Online,Amazon,Travel,4958.69,UPI,Approved,Lake Nicholeville,2023,1,12
290,100290,3606,2023-01-13,Online,Uber,Electronics,1469.97,PayPal,Approved,Douglasport,2023,1,13
291,100291,3924,2023-01-13,Online,Walmart,Dining,3036.08,Credit Card,Approved,Martinezport,2023,1,13
295,100295,3135,2023-01-13,Online,Uber,Dining,1056.41,PayPal,Approved,Hannahbury,2023,1,13
297,100297,2655,2023-01-13,Online,Amazon,Clothing,1357.83,Credit Card,Approved,Lake Nathan,2023,1,13
303,100303,4991,2023-01-13,Online,Uber,Dining,4469.48,Debit Card,Approved,South Virginia,2023,1,13
306,100306,4590,2023-01-13,Online,Walmart,Dining,4445.82,PayPal,Approved,Gonzalesstad,2023,1,13
309,100309,4873,2023-01-13,Online,Walmart,Clothing,2597.55,PayPal,Approved,Port Shannon,2023,1,13
310,100310,3203,2023-01-13,Online,Amazon,Clothing,2708.79,PayPal,Pending,East James,2023,1,13
311,100311,2017,2023-01-13,Online,Netflix,Electronics,2816.32,Credit Card,Approved,Alanbury,2023,1,13
317,100317,2163,2023-01-14,Online,Target,Dining,3706.17,Debit Card,Approved,Darrenport,2023,1,14
319,100319,1813,2023-01-14,Online,Uber,Dining,4323.52,UPI,Approved,Carpenterfort,2023,1,14
321,100321,4340,2023-01-14,Online,Apple Store,Travel,4266.8,Credit Card,Declined,Schneiderberg,2023,1,14
331,100331,1769,2023-01-14,Online,Netflix,Dining,1561.59,Credit Card,Approved,New Josephchester,2023,1,14
338,100338,1310,2023-01-15,Online,Target,Entertainment,3124.19,Debit Card,Approved,East Jonathan,2023,1,15
340,100340,1480,2023-01-15,Online,Netflix,Groceries,2874.79,Debit Card,Approved,South Sarahville,2023,1,15
343,100343,2763,2023-01-15,Online,Target,Electronics,3099.85,PayPal,Approved,Popeberg,2023,1,15
353,100353,3637,2023-01-15,Online,Apple Store,Groceries,1025.14,PayPal,Approved,Port Cheyennefurt,2023,1,15
356,100356,2092,2023-01-15,Online,Uber,Clothing,3326.14,UPI,Approved,Wrightberg,2023,1,15
364,100364,4479,2023-01-16,Online,Walmart,Clothing,3868.66,Credit Card,Approved,East Stevenmouth,2023,1,16
366,100366,4833,2023-01-16,Online,Walmart,Groceries,2144.82,Debit Card,Pending,West Kevinmouth,2023,1,16
367,100367,1512,2023-01-16,Online,Target,Clothing,2044.92,Credit Card,Pending,Andersonstad,2023,1,16
374,100374,1522,2023-01-16,Online,Walmart,Clothing,2335.76,PayPal,Approved,Jenniferside,2023,1,16
376,100376,3324,2023-01-16,Online,Amazon,Entertainment,4603.82,UPI,Pending,North Jamesshire,2023,1,16
379,100379,4684,2023-01-16,Online,Netflix,Entertainment,4043.27,UPI,Approved,Lake Ronaldberg,2023,1,16
385,100385,3368,2023-01-17,Online,Apple Store,Dining,2779.41,UPI,Approved,East Brookeville,2023,1,17
386,100386,4128,2023-01-17,Online,Uber,Clothing,1814.14,Credit Card,Approved,South Julietown,2023,1,17
387,100387,2352,2023-01-17,Online,Walmart,Entertainment,3503.09,Credit Card,Approved,Kimport,2023,1,17
388,100388,3039,2023-01-17,Online,Amazon,Dining,2061.34,UPI,Declined,West Erinchester,2023,1,17
389,100389,4658,2023-01-17,Online,Target,Entertainment,2250.99,PayPal,Approved,Lake Wendy,2023,1,17
402,100402,2687,2023-01-17,Online,Apple Store,Groceries,2272.88,PayPal,Approved,Lake Scottview,2023,1,17
405,100405,4812,2023-01-17,Online,Uber,Clothing,4406.27,Credit Card,Approved,Colemanmouth,2023,1,17
419,100419,1025,2023-01-18,Online,Amazon,Travel,1627.62,UPI,Approved,Port Kayla,2023,1,18
422,100422,3613,2023-01-18,Online,Apple Store,Travel,2632.08,PayPal,Approved,Ethanville,2023,1,18
424,100424,2621,2023-01-18,Online,Uber,Travel,3085.37,UPI,Approved,Josemouth,2023,1,18
429,100429,3036,2023-01-18,Online,Walmart,Clothing,4261.5,UPI,Approved,Lisaton,2023,1,18
442,100442,4414,2023-01-19,Online,Amazon,Dining,2669.62,Debit Card,Approved,South Jennifer,2023,1,19
448,100448,1351,2023-01-19,Online,Amazon,Dining,1575.67,Credit Card,Approved,New Jamieshire,2023,1,19
451,100451,4131,2023-01-19,Online,Amazon,Dining,2668.54,PayPal,Approved,Fischerhaven,2023,1,19
460,100460,1330,2023-01-20,Online,Apple Store,Dining,1907.9,UPI,Approved,Garciashire,2023,1,20
462,100462,1699,2023-01-20,Online,BestBuy,Groceries,3546.4,Debit Card,Approved,North David,2023,1,20
464,100464,2188,2023-01-20,Online,Netflix,Travel,3791.27,UPI,Approved,Spearstown,2023,1,20
471,100471,3485,2023-01-20,Online,BestBuy,Travel,3019.56,UPI,Approved,West Aaronberg,2023,1,20
477,100477,4429,2023-01-20,Online,Target,Travel,4923.44,UPI,Approved,Shannonside,2023,1,20
480,100480,1318,2023-01-21,Online,Netflix,Clothing,2005.75,PayPal,Approved,Bennettberg,2023,1,21
481,100481,1969,2023-01-21,Online,Netflix,Dining,1389.09,Debit Card,Approved,Lake Sierraland,2023,1,21
483,100483,1662,2023-01-21,Online,Apple Store,Travel,2113.15,PayPal,Approved,Jordanside,2023,1,21
486,100486,2987,2023-01-21,Online,Target,Travel,3816.37,UPI,Approved,Barryview,2023,1,21
489,100489,1597,2023-01-21,Online,Netflix,Electronics,2743.99,PayPal,Approved,Russoberg,2023,1,21
501,100501,4648,2023-01-21,Online,Walmart,Entertainment,2038.99,Credit Card,Approved,Lake Kayla,2023,1,21
502,100502,1464,2023-01-21,Online,Apple Store,Clothing,2643.0,Debit Card,Approved,Hardyside,2023,1,21
503,100503,1659,2023-01-21,Online,Apple Store,Dining,4892.89,Credit Card,Approved,South Johnmouth,2023,1,21
505,100505,1248,2023-01-22,Online,BestBuy,Entertainment,2676.11,Debit Card,Approved,Lauramouth,2023,1,22
506,100506,3838,2023-01-22,Online,Uber,Groceries,2535.01,UPI,Pending,Richardsland,2023,1,22
510,100510,4120,2023-01-22,Online,Target,Travel,3021.36,PayPal,Approved,Lake Alejandro,2023,1,22
525,100525,3131,2023-01-22,Online,Target,Electronics,4056.92,UPI,Approved,Saraburgh,2023,1,22
527,100527,1961,2023-01-22,Online,Amazon,Electronics,2303.57,Credit Card,Approved,Ginahaven,2023,1,22
530,100530,2806,2023-01-23,Online,Apple Store,Dining,2414.79,UPI,Declined,Tranhaven,2023,1,23
536,100536,3803,2023-01-23,Online,BestBuy,Travel,2563.33,UPI,Approved,South Amyport,2023,1,23
538,100538,3228,2023-01-23,Online,Amazon,Dining,4946.89,Credit Card,Declined,Michelletown,2023,1,23
541,100541,2760,2023-01-23,Online,Netflix,Groceries,2201.15,Credit Card,Approved,Port Alisonhaven,2023,1,23
547,100547,3095,2023-01-23,Online,Uber,Dining,3929.1,PayPal,Approved,Sandersside,2023,1,23
553,100553,4331,2023-01-24,Online,BestBuy,Entertainment,3880.87,Debit Card,Approved,North Pamela,2023,1,24
554,100554,2970,2023-01-24,Online,Walmart,Electronics,2857.34,PayPal,Declined,Leefurt,2023,1,24
558,100558,4893,2023-01-24,Online,Target,Groceries,3287.47,Debit Card,Approved,Wrightport,2023,1,24
561,100561,2701,2023-01-24,Online,Walmart,Entertainment,4489.61,Debit Card,Approved,Lake Erin,2023,1,24
562,100562,1706,2023-01-24,Online,Uber,Travel,3508.98,Debit Card,Approved,North Nicole,2023,1,24
566,100566,3502,2023-01-24,Online,Target,Clothing,2905.03,Credit Card,Approved,Michaelmouth,2023,1,24
573,100573,2623,2023-01-24,Online,Target,Travel,1766.19,UPI,Approved,Wolftown,2023,1,24
576,100576,3620,2023-01-25,Online,Target,Electronics,3731.88,Credit Card,Approved,West Jeanetteborough,2023,1,25
584,100584,3334,2023-01-25,Online,Amazon,Dining,4067.2,PayPal,Declined,Hahnborough,2023,1,25
588,100588,4376,2023-01-25,Online,Walmart,Entertainment,3763.29,Debit Card,Approved,Lake Frank,2023,1,25
589,100589,2726,2023-01-25,Online,Uber,Groceries,1053.31,PayPal,Pending,Piercefort,2023,1,25
593,100593,4722,2023-01-25,Online,BestBuy,Entertainment,1366.18,Credit Card,Declined,Cummingsfurt,2023,1,25
599,100599,2187,2023-01-25,Online,Uber,Dining,3638.51,UPI,Approved,Angelaborough,2023,1,25
609,100609,3890,2023-01-26,Online,Uber,Travel,2240.93,Debit Card,Approved,South Tanya,2023,1,26
612,100612,2822,2023-01-26,Online,Apple Store,Groceries,3428.2,Debit Card,Approved,West Brianmouth,2023,1,26
613,100613,4470,2023-01-26,Online,Amazon,Entertainment,1653.93,Debit Card,Approved,Sherrytown,2023,1,26
619,100619,1988,2023-01-26,Online,Apple Store,Groceries,3572.72,PayPal,Declined,Christineton,2023,1,26
636,100636,4848,2023-01-27,Online,Walmart,Travel,2531.03,PayPal,Approved,Flowersfurt,2023,1,27
653,100653,3003,2023-01-28,Online,Walmart,Clothing,3674.36,UPI,Approved,Davistown,2023,1,28
654,100654,1508,2023-01-28,Online,Netflix,Dining,3623.88,UPI,Approved,Port Brandonside,2023,1,28
659,100659,2262,2023-01-28,Online,Amazon,Clothing,4442.83,PayPal,Approved,East Mark,2023,1,28
660,100660,1232,2023-01-28,Online,Walmart,Electronics,3556.55,PayPal,Approved,South Gabriellehaven,2023,1,28
663,100663,3396,2023-01-28,Online,Apple Store,Entertainment,1270.43,PayPal,Approved,South Tara,2023,1,28
670,100670,4660,2023-01-28,Online,Walmart,Entertainment,1402.35,Debit Card,Approved,Greeneville,2023,1,28
674,100674,1102,2023-01-29,Online,Amazon,Dining,3222.69,PayPal,Approved,Ramosville,2023,1,29
678,100678,4247,2023-01-29,Online,Netflix,Travel,4504.49,Credit Card,Approved,Muellermouth,2023,1,29
683,100683,3930,2023-01-29,Online,Netflix,Entertainment,2319.94,Debit Card,Declined,Curtishaven,2023,1,29
698,100698,3830,2023-01-30,Online,Uber,Travel,3210.79,UPI,Approved,South Jameston,2023,1,30
703,100703,4627,2023-01-30,Online,Uber,Clothing,1471.43,Credit Card,Approved,Angelafort,2023,1,30
715,100715,3080,2023-01-30,Online,Walmart,Groceries,3400.26,PayPal,Approved,Davisstad,2023,1,30
716,100716,3973,2023-01-30,Online,Amazon,Groceries,2667.66,Debit Card,Approved,Bonillaburgh,2023,1,30
717,100717,3694,2023-01-30,Online,Walmart,Electronics,2048.29,PayPal,Approved,Port Timothyville,2023,1,30
723,100723,4050,2023-01-31,Online,Netflix,Clothing,2342.4,Debit Card,Declined,Port Sharonville,2023,1,31
726,100726,4426,2023-01-31,Online,Walmart,Electronics,2344.89,UPI,Approved,Leonport,2023,1,31
751,100751,3541,2023-02-01,Online,Netflix,Groceries,4962.5,Debit Card,Declined,West Samanthahaven,2023,2,1
752,100752,2722,2023-02-01,Online,Apple Store,Groceries,3100.8,Credit Card,Approved,Morganton,2023,2,1
754,100754,1605,2023-02-01,Online,Amazon,Groceries,2821.06,Debit Card,Approved,East Shaunfort,2023,2,1
755,100755,1241,2023-02-01,Online,Walmart,Dining,1038.98,UPI,Approved,Dianahaven,2023,2,1
758,100758,2952,2023-02-01,Online,Walmart,Travel,2529.46,PayPal,Approved,Port Ronaldville,2023,2,1
761,100761,3104,2023-02-01,Online,Uber,Dining,1482.91,UPI,Approved,New Cynthiaton,2023,2,1
764,100764,3194,2023-02-01,Online,Uber,Travel,4303.62,Credit Card,Approved,East Judy,2023,2,1
766,100766,1802,2023-02-01,Online,Walmart,Clothing,1073.99,Credit Card,Approved,Natashachester,2023,2,1
767,100767,2884,2023-02-01,Online,Amazon,Clothing,2549.76,Credit Card,Approved,Alexandrabury,2023,2,1
771,100771,2996,2023-02-02,Online,Uber,Travel,1610.17,PayPal,Approved,Lake Ronaldville,2023,2,2
775,100775,3777,2023-02-02,Online,Netflix,Clothing,1150.29,PayPal,Pending,New Jonathanberg,2023,2,2
777,100777,4775,2023-02-02,Online,Target,Dining,4404.02,PayPal,Pending,West Amanda,2023,2,2
780,100780,2174,2023-02-02,Online,Amazon,Entertainment,4468.64,UPI,Approved,South Gabrielchester,2023,2,2
782,100782,3982,2023-02-02,Online,Netflix,Dining,4871.94,Debit Card,Approved,North Monica,2023,2,2
785,100785,2318,2023-02-02,Online,BestBuy,Clothing,4195.2,PayPal,Approved,Matthewton,2023,2,2
786,100786,3461,2023-02-02,Online,Target,Clothing,1242.01,Debit Card,Approved,Lake Cameronport,2023,2,2
789,100789,4514,2023-02-02,Online,Apple Store,Groceries,1442.66,Credit Card,Approved,Lake Kimberlymouth,2023,2,2
792,100792,1512,2023-02-03,Online,Uber,Clothing,3625.1,UPI,Approved,Pittmanmouth,2023,2,3
798,100798,2639,2023-02-03,Online,Uber,Electronics,3326.46,Credit Card,Approved,South Holly,2023,2,3
800,100800,4778,2023-02-03,Online,Uber,Dining,3672.74,Debit Card,Approved,Spencerfort,2023,2,3
801,100801,3998,2023-02-03,Online,Apple Store,Electronics,1942.08,UPI,Declined,Deanport,2023,2,3
805,100805,1782,2023-02-03,Online,Netflix,Entertainment,3890.91,PayPal,Approved,Knappfort,2023,2,3
813,100813,3791,2023-02-03,Online,Walmart,Electronics,1647.85,Debit Card,Approved,West Christinebury,2023,2,3
814,100814,3031,2023-02-03,Online,BestBuy,Groceries,3659.91,PayPal,Declined,West Parkerport,2023,2,3
823,100823,3563,2023-02-04,Online,Walmart,Electronics,1258.73,Credit Card,Approved,West Stevenport,2023,2,4
825,100825,4332,2023-02-04,Online,Uber,Entertainment,1466.63,PayPal,Approved,Mcdanielstad,2023,2,4
827,100827,1174,2023-02-04,Online,Apple Store,Travel,2687.32,Debit Card,Approved,Port Jenniferland,2023,2,4
828,100828,4869,2023-02-04,Online,Apple Store,Dining,2363.7,PayPal,Approved,Port Cameronchester,2023,2,4
831,100831,3520,2023-02-04,Online,Amazon,Travel,3955.09,PayPal,Approved,Port Tiffanyburgh,2023,2,4
833,100833,4694,2023-02-04,Online,Apple Store,Clothing,1198.79,PayPal,Approved,Faulknermouth,2023,2,4
836,100836,4845,2023-02-04,Online,Netflix,Groceries,4199.65,UPI,Declined,Mccannbury,2023,2,4
837,100837,3228,2023-02-04,Online,Walmart,Groceries,3628.89,Debit Card,Approved,East Gregorybury,2023,2,4
850,100850,3757,2023-02-05,Online,Apple Store,Entertainment,2705.95,Credit Card,Approved,South Nancyview,2023,2,5
851,100851,1245,2023-02-05,Online,Netflix,Entertainment,4040.92,PayPal,Approved,Andersonbury,2023,2,5
859,100859,4549,2023-02-05,Online,Apple Store,Clothing,2591.09,UPI,Approved,East Meganborough,2023,2,5
861,100861,2328,2023-02-05,Online,Amazon,Travel,3561.93,PayPal,Approved,Dominicview,2023,2,5
867,100867,3634,2023-02-06,Online,BestBuy,Travel,2261.28,UPI,Approved,East Kimberlybury,2023,2,6
874,100874,3274,2023-02-06,Online,Netflix,Travel,1309.17,Debit Card,Approved,East Brettborough,2023,2,6
882,100882,1328,2023-02-06,Online,Walmart,Electronics,2975.24,Debit Card,Approved,North Jamesborough,2023,2,6
892,100892,1124,2023-02-07,Online,Amazon,Groceries,2990.15,Debit Card,Declined,Christopherfurt,2023,2,7
895,100895,3951,2023-02-07,Online,BestBuy,Entertainment,4369.43,UPI,Approved,West John,2023,2,7
914,100914,2437,2023-02-08,Online,Target,Electronics,1113.79,PayPal,Approved,Port Davidport,2023,2,8
918,100918,2573,2023-02-08,Online,Target,Dining,2577.56,Credit Card,Approved,South Teresa,2023,2,8
921,100921,4294,2023-02-08,Online,Amazon,Groceries,3468.45,Debit Card,Approved,New Timothyport,2023,2,8
922,100922,3593,2023-02-08,Online,Walmart,Travel,4761.09,Credit Card,Approved,Leeside,2023,2,8
926,100926,1003,2023-02-08,Online,Target,Electronics,2776.66,PayPal,Approved,Lake Peterbury,2023,2,8
927,100927,3449,2023-02-08,Online,Amazon,Dining,3809.41,PayPal,Approved,Kristinport,2023,2,8
946,100946,3400,2023-02-09,Online,Amazon,Travel,3217.0,Credit Card,Approved,South Sarahmouth,2023,2,9
962,100962,4753,2023-02-10,Online,Uber,Dining,3309.68,PayPal,Approved,South Williebury,2023,2,10
963,100963,3011,2023-02-10,Online,Apple Store,Dining,1004.41,UPI,Approved,Cortezville,2023,2,10
964,100964,4001,2023-02-10,Online,Walmart,Dining,3142.79,Debit Card,Approved,East Daniel,2023,2,10
966,100966,1796,2023-02-10,Online,Netflix,Electronics,1508.05,Debit Card,Approved,Keithtown,2023,2,10
967,100967,1346,2023-02-10,Online,Target,Groceries,4806.38,Debit Card,Approved,Peterton,2023,2,10
975,100975,1323,2023-02-10,Online,Netflix,Electronics,4395.02,PayPal,Approved,North Jennifer,2023,2,10
986,100986,3352,2023-02-11,Online,Target,Clothing,3457.97,UPI,Approved,Dunlapmouth,2023,2,11
988,100988,1160,2023-02-11,Online,Amazon,Travel,1305.29,UPI,Approved,South Alisonhaven,2023,2,11
994,100994,2433,2023-02-11,Online,Amazon,Entertainment,3154.55,Credit Card,Approved,South Frederickbury,2023,2,11
999,100999,4248,2023-02-11,Online,Netflix,Clothing,3044.92,Credit Card,Approved,East Mercedestown,2023,2,11
1004,101004,3276,2023-02-11,Online,BestBuy,Dining,3135.54,Debit Card,Approved,Kochborough,2023,2,11
1005,101005,2284,2023-02-11,Online,BestBuy,Clothing,1713.5,UPI,Approved,Kerriborough,2023,2,11
1006,101006,3268,2023-02-11,Online,Apple Store,Dining,1910.84,Credit Card,Declined,Danielmouth,2023,2,11
1009,101009,1287,2023-02-12,Online,Walmart,Groceries,2613.79,PayPal,Approved,Maureenmouth,2023,2,12
1011,101011,2690,2023-02-12,Online,BestBuy,Clothing,3402.76,UPI,Approved,Port Trevor,2023,2,12
1016,101016,4436,2023-02-12,Online,Amazon,Dining,1643.89,PayPal,Approved,Dodsonfurt,2023,2,12
1020,101020,2241,2023-02-12,Online,Apple Store,Travel,2485.6,PayPal,Approved,Port Anthonymouth,2023,2,12
1025,101025,4542,2023-02-12,Online,Target,Clothing,4831.38,Debit Card,Declined,Rodriguezborough,2023,2,12
1026,101026,2184,2023-02-12,Online,BestBuy,Travel,2575.97,UPI,Approved,West Josephshire,2023,2,12
1027,101027,4510,2023-02-12,Online,Walmart,Clothing,4081.54,PayPal,Approved,North Heather,2023,2,12
1029,101029,2653,2023-02-12,Online,Walmart,Entertainment,2243.53,Credit Card,Approved,North Ricky,2023,2,12
1036,101036,4087,2023-02-13,Online,Walmart,Electronics,3369.21,PayPal,Approved,Port Tyler,2023,2,13
1039,101039,4540,2023-02-13,Online,Target,Dining,1446.52,PayPal,Approved,Ericbury,2023,2,13
1041,101041,2009,2023-02-13,Online,Apple Store,Clothing,1840.91,PayPal,Approved,Gomezfurt,2023,2,13
1056,101056,2932,2023-02-14,Online,Amazon,Entertainment,4650.91,Credit Card,Approved,New Shelbyshire,2023,2,14
1058,101058,4313,2023-02-14,Online,Walmart,Dining,4132.13,Credit Card,Approved,Smithland,2023,2,14
1065,101065,1646,2023-02-14,Online,Amazon,Travel,1867.52,Credit Card,Approved,North Brittany,2023,2,14
1067,101067,4055,2023-02-14,Online,Apple Store,Groceries,1761.03,UPI,Approved,Johnsonmouth,2023,2,14
1072,101072,2168,2023-02-14,Online,Target,Clothing,2322.05,PayPal,Approved,South Kariville,2023,2,14
1081,101081,2452,2023-02-15,Online,BestBuy,Dining,1797.93,Debit Card,Approved,North Carlos,2023,2,15
1086,101086,4328,2023-02-15,Online,Target,Clothing,1996.15,Debit Card,Approved,Alexanderville,2023,2,15
1100,101100,3121,2023-02-15,Online,BestBuy,Entertainment,4090.01,Credit Card,Declined,West Josefort,2023,2,15
1106,101106,2902,2023-02-16,Online,Apple Store,Dining,1962.78,PayPal,Declined,Meyerfort,2023,2,16
1114,101114,4265,2023-02-16,Online,Uber,Groceries,4636.05,UPI,Approved,Leechester,2023,2,16
1123,101123,1645,2023-02-16,Online,Netflix,Entertainment,4690.14,Credit Card,Approved,Port Joshua,2023,2,16
1125,101125,3512,2023-02-16,Online,BestBuy,Travel,2630.35,PayPal,Approved,Evanstown,2023,2,16
1126,101126,1981,2023-02-16,Online,BestBuy,Clothing,4670.58,UPI,Approved,Paulbury,2023,2,16
