Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Merchant,Category,Amount,Payment_Mode,Transaction_Status,Location,Year,Month,Day,Discounted_Amount,Amount_Category,Date,High_Risk,Age,Gender,Account_Status
64,213,2025-01-03,Online,Costco,Clothing,633.26,Debit Card,Declined,Los Angeles,2025,1,3,601.597,High,2025-01-03,False,66,Other,Active
65,208,2025-01-03,POS,Costco,Travel,534.84,Credit Card,Approved,Miami,2025,1,3,508.098,High,2025-01-03,False,31,Male,Inactive
66,237,2025-01-03,POS,BestBuy,Electronics,119.82,Debit Card,Approved,San Francisco,2025,1,3,119.82,Medium,2025-01-03,False,29,Other,Suspended
67,53,2025-01-03,Online,Target,Entertainment,607.61,Debit Card,Pending,New York,2025,1,3,577.2295,High,2025-01-03,False,46,Male,Inactive
68,280,2025-01-03,ATM,eBay,Entertainment,121.62,Credit Card,Declined,Houston,2025,1,3,121.62,Medium,2025-01-03,False,41,Male,Active
69,217,2025-01-03,ATM,eBay,Groceries,340.52,Debit Card,Pending,Seattle,2025,1,3,340.52,Medium,2025-01-03,False,31,Male,Active
70,252,2025-01-03,Online,Target,Electronics,147.13,Debit Card,Pending,Houston,2025,1,3,147.13,Medium,2025-01-03,False,43,Male,Suspended
71,188,2025-01-03,Online,Amazon,Health,693.61,Credit Card,Approved,Seattle,2025,1,3,658.9295,High,2025-01-03,False,41,Female,Inactive
72,41,2025-01-03,POS,eBay,Health,210.22,Debit Card,Pending,Los Angeles,2025,1,3,210.22,Medium,2025-01-03,False,63,Male,Active
73,157,2025-01-04,Online,BestBuy,Clothing,394.9,Debit Card,Declined,Los Angeles,2025,1,4,394.9,Medium,2025-01-04,False,43,Female,Inactive
74,15,2025-01-04,ATM,Expedia,Health,896.2,Debit Card,Approved,Miami,2025,1,4,851.39,High,2025-01-04,False,57,Female,Active
75,65,2025-01-04,Online,Expedia,Entertainment,208.29,Debit Card,Declined,San Francisco,2025,1,4,208.29,Medium,2025-01-04,False,45,Female,Suspended
76,9,2025-01-04,POS,Walmart,Health,510.27,Debit Card,Declined,Miami,2025,1,4,484.75649999999996,High,2025-01-04,False,58,Female,Inactive
77,129,2025-01-04,POS,Walmart,Travel,422.18,Debit Card,Approved,Los Angeles,2025,1,4,422.18,Medium,2025-01-04,False,26,Male,Suspended
78,136,2025-01-04,POS,Expedia,Travel,23.03,Credit Card,Declined,Los Angeles,2025,1,4,23.03,Low,2025-01-04,False,27,Female,Inactive
79,63,2025-01-04,POS,Expedia,Travel,793.79,Debit Card,Approved,Houston,2025,1,4,754.1004999999999,High,2025-01-04,False,21,Female,Inactive
80,139,2025-01-04,POS,Costco,Health,73.7,Credit Card,Declined,Los Angeles,2025,1,4,73.7,Low,2025-01-04,False,50,Other,Inactive
81,81,2025-01-04,Online,BestBuy,Clothing,476.88,Credit Card,Approved,Chicago,2025,1,4,476.88,Medium,2025-01-04,False,30,Other,Active
82,163,2025-01-04,Online,Target,Dining,562.87,Credit Card,Pending,Seattle,2025,1,4,534.7265,High,2025-01-04,False,22,Other,Suspended
83,289,2025-01-04,Online,Walmart,Dining,630.28,Credit Card,Declined,New York,2025,1,4,598.766,High,2025-01-04,False,60,Other,Inactive
84,261,2025-01-04,Online,Costco,Electronics,690.19,Debit Card,Approved,Los Angeles,2025,1,4,655.6805,High,2025-01-04,False,18,Female,Suspended
85,231,2025-01-04,POS,Costco,Dining,257.01,Debit Card,Declined,Miami,2025,1,4,257.01,Medium,2025-01-04,False,27,Female,Active
86,41,2025-01-04,ATM,Target,Dining,14.93,Debit Card,Declined,San Francisco,2025,1,4,14.93,Low,2025-01-04,False,63,Male,Active
87,28,2025-01-04,Online,Costco,Travel,724.83,Credit Card,Declined,Seattle,2025,1,4,688.5885,High,2025-01-04,False,25,Other,Active
88,135,2025-01-04,ATM,BestBuy,Travel,537.98,Debit Card,Approved,Seattle,2025,1,4,511.081,High,2025-01-04,False,35,Other,Active
89,201,2025-01-04,Online,Expedia,Health,836.94,Debit Card,Pending,San Francisco,2025,1,4,795.093,High,2025-01-04,True,44,Other,Suspended
90,268,2025-01-04,Online,eBay,Electronics,822.28,Debit Card,Pending,San Francisco,2025,1,4,781.1659999999999,High,2025-01-04,True,59,Female,Inactive
91,33,2025-01-04,ATM,Target,Groceries,844.11,Credit Card,Pending,Seattle,2025,1,4,801.9045,High,2025-01-04,False,60,Female,Active
92,48,2025-01-04,POS,Expedia,Entertainment,487.67,Credit Card,Approved,Chicago,2025,1,4,487.67,Medium,2025-01-04,False,41,Male,Inactive
93,62,2025-01-04,Online,Expedia,Electronics,336.96,Debit Card,Pending,Miami,2025,1,4,336.96,Medium,2025-01-04,False,52,Other,Inactive
94,216,2025-01-04,Online,Amazon,Electronics,792.6,Credit Card,Approved,Chicago,2025,1,4,752.97,High,2025-01-04,False,65,Female,Active
95,293,2025-01-04,Online,Target,Clothing,454.04,Credit Card,Declined,Los Angeles,2025,1,4,454.04,Medium,2025-01-04,False,28,Female,Active
96,99,2025-01-04,ATM,Costco,Health,187.52,Debit Card,Declined,New York,2025,1,4,187.52,Medium,2025-01-04,False,61,Other,Active
97,172,2025-01-05,POS,eBay,Clothing,855.7,Credit Card,Pending,San Francisco,2025,1,5,812.915,High,2025-01-05,False,43,Male,Active
98,214,2025-01-05,ATM,Target,Electronics,883.15,Credit Card,Approved,Miami,2025,1,5,838.9925,High,2025-01-05,False,47,Male,Active
99,35,2025-01-05,ATM,Costco,Electronics,468.98,Debit Card,Declined,San Francisco,2025,1,5,468.98,Medium,2025-01-05,False,66,Female,Suspended
100,227,2025-01-05,POS,Expedia,Electronics,80.32,Credit Card,Approved,Chicago,2025,1,5,80.32,Low,2025-01-05,False,40,Male,Active
101,101,2025-01-05,ATM,eBay,Dining,390.89,Credit Card,Approved,Houston,2025,1,5,390.89,Medium,2025-01-05,False,24,Female,Suspended
102,131,2025-01-05,POS,Costco,Entertainment,804.52,Credit Card,Declined,Los Angeles,2025,1,5,764.294,High,2025-01-05,False,50,Male,Suspended
103,257,2025-01-05,Online,BestBuy,Entertainment,902.27,Credit Card,Approved,New York,2025,1,5,857.1564999999999,High,2025-01-05,True,55,Female,Inactive
104,5,2025-01-05,POS,Costco,Clothing,207.46,Credit Card,Declined,Los Angeles,2025,1,5,207.46,Medium,2025-01-05,False,27,Other,Suspended
105,218,2025-01-05,Online,Amazon,Electronics,71.64,Credit Card,Declined,Houston,2025,1,5,71.64,Low,2025-01-05,False,29,Male,Suspended
106,255,2025-01-05,ATM,Expedia,Entertainment,877.96,Credit Card,Declined,New York,2025,1,5,834.062,High,2025-01-05,False,41,Male,Active
107,283,2025-01-05,ATM,Costco,Travel,392.46,Credit Card,Approved,Houston,2025,1,5,392.46,Medium,2025-01-05,False,58,Male,Inactive
108,207,2025-01-05,Online,Walmart,Entertainment,544.05,Debit Card,Declined,Los Angeles,2025,1,5,516.8475,High,2025-01-05,False,44,Other,Active
109,15,2025-01-05,ATM,Walmart,Health,968.23,Debit Card,Approved,Chicago,2025,1,5,919.8185,High,2025-01-05,False,57,Female,Active
110,42,2025-01-05,POS,Amazon,Health,71.23,Debit Card,Declined,Seattle,2025,1,5,71.23,Low,2025-01-05,False,18,Female,Suspended
111,179,2025-01-05,Online,BestBuy,Entertainment,650.08,Debit Card,Declined,Los Angeles,2025,1,5,617.576,High,2025-01-05,False,38,Female,Suspended
112,63,2025-01-05,ATM,Expedia,Travel,78.73,Credit Card,Pending,Los Angeles,2025,1,5,78.73,Low,2025-01-05,False,21,Female,Inactive
113,231,2025-01-05,Online,Target,Health,378.59,Debit Card,Pending,Los Angeles,2025,1,5,378.59,Medium,2025-01-05,False,27,Female,Active
114,241,2025-01-05,POS,Amazon,Dining,804.8,Debit Card,Pending,Miami,2025,1,5,764.56,High,2025-01-05,False,62,Female,Suspended
115,52,2025-01-05,POS,BestBuy,Entertainment,436.3,Credit Card,Approved,Houston,2025,1,5,436.3,Medium,2025-01-05,False,34,Other,Inactive
116,96,2025-01-05,ATM,Target,Dining,997.2,Credit Card,Approved,Houston,2025,1,5,947.34,High,2025-01-05,False,54,Female,Suspended
117,222,2025-01-05,POS,Walmart,Entertainment,561.26,Credit Card,Declined,San Francisco,2025,1,5,533.197,High,2025-01-05,False,60,Male,Inactive
118,231,2025-01-05,Online,Walmart,Groceries,324.56,Credit Card,Declined,Houston,2025,1,5,324.56,Medium,2025-01-05,False,27,Female,Active
119,237,2025-01-05,POS,Target,Groceries,224.01,Credit Card,Declined,San Francisco,2025,1,5,224.01,Medium,2025-01-05,False,29,Other,Suspended
120,143,2025-01-05,Online,Amazon,Groceries,353.77,Debit Card,Declined,Miami,2025,1,5,353.77,Medium,2025-01-05,False,37,Other,Inactive
121,171,2025-01-06,Online,Walmart,Health,375.67,Credit Card,Approved,Chicago,2025,1,6,375.67,Medium,2025-01-06,False,42,Male,Inactive
122,29,2025-01-06,POS,Expedia,Dining,73.37,Debit Card,Declined,San Francisco,2025,1,6,73.37,Low,2025-01-06,False,65,Female,Suspended
123,36,2025-01-06,ATM,eBay,Dining,372.73,Debit Card,Declined,Los Angeles,2025,1,6,372.73,Medium,2025-01-06,False,66,Male,Active
124,13,2025-01-06,POS,Costco,Dining,466.92,Credit Card,Pending,Chicago,2025,1,6,466.92,Medium,2025-01-06,False,54,Other,Active
125,160,2025-01-06,Online,Target,Travel,724.12,Debit Card,Declined,Seattle,2025,1,6,687.914,High,2025-01-06,False,42,Other,Suspended
126,187,2025-01-06,Online,Target,Dining,658.45,Debit Card,Declined,Miami,2025,1,6,625.5275,High,2025-01-06,False,25,Female,Suspended
127,243,2025-01-06,POS,Walmart,Travel,710.22,Credit Card,Declined,Houston,2025,1,6,674.709,High,2025-01-06,False,23,Male,Active
128,86,2025-01-06,ATM,Amazon,Groceries,13.32,Debit Card,Approved,San Francisco,2025,1,6,13.32,Low,2025-01-06,False,28,Female,Inactive
129,284,2025-01-06,ATM,Expedia,Groceries,221.58,Debit Card,Pending,Los Angeles,2025,1,6,221.58,Medium,2025-01-06,False,27,Female,Inactive
130,66,2025-01-06,Online,Amazon,Health,663.38,Debit Card,Declined,New York,2025,1,6,630.211,High,2025-01-06,False,30,Female,Inactive
131,170,2025-01-06,Online,BestBuy,Entertainment,486.57,Credit Card,Declined,Seattle,2025,1,6,486.57,Medium,2025-01-06,False,54,Male,Suspended
132,45,2025-01-06,ATM,BestBuy,Groceries,10.29,Credit Card,Pending,New York,2025,1,6,10.29,Low,2025-01-06,False,38,Female,Suspended
133,62,2025-01-06,POS,eBay,Entertainment,805.47,Credit Card,Declined,Chicago,2025,1,6,765.1965,High,2025-01-06,False,52,Other,Inactive
134,134,2025-01-06,Online,Walmart,Entertainment,773.95,Debit Card,Approved,Houston,2025,1,6,735.2525,High,2025-01-06,False,23,Male,Active
135,284,2025-01-06,Online,Walmart,Health,550.68,Credit Card,Declined,New York,2025,1,6,523.146,High,2025-01-06,False,27,Female,Inactive
136,28,2025-01-06,ATM,Walmart,Electronics,71.13,Debit Card,Approved,Chicago,2025,1,6,71.13,Low,2025-01-06,False,25,Other,Active
137,108,2025-01-06,POS,eBay,Electronics,767.68,Credit Card,Approved,Miami,2025,1,6,729.2959999999999,High,2025-01-06,False,28,Other,Suspended
138,44,2025-01-06,ATM,BestBuy,Clothing,585.8,Debit Card,Declined,Chicago,2025,1,6,556.5099999999999,High,2025-01-06,False,53,Female,Active
139,286,2025-01-06,POS,Amazon,Health,783.05,Credit Card,Pending,Seattle,2025,1,6,743.8974999999999,High,2025-01-06,False,55,Other,Active
140,128,2025-01-06,POS,eBay,Clothing,752.99,Credit Card,Approved,Chicago,2025,1,6,715.3405,High,2025-01-06,False,24,Female,Active
141,231,2025-01-06,POS,eBay,Clothing,803.99,Debit Card,Pending,Seattle,2025,1,6,763.7905,High,2025-01-06,False,27,Female,Active
142,190,2025-01-06,Online,Amazon,Electronics,520.42,Credit Card,Declined,Chicago,2025,1,6,494.39899999999994,High,2025-01-06,False,42,Female,Inactive
143,225,2025-01-06,ATM,Walmart,Health,144.62,Debit Card,Approved,Los Angeles,2025,1,6,144.62,Medium,2025-01-06,False,66,Male,Inactive
144,283,2025-01-06,ATM,Expedia,Electronics,672.8,Credit Card,Declined,Chicago,2025,1,6,639.16,High,2025-01-06,False,58,Male,Inactive
145,121,2025-01-07,POS,Amazon,Clothing,622.37,Credit Card,Pending,San Francisco,2025,1,7,591.2515,High,2025-01-07,False,36,Male,Active
146,116,2025-01-07,Online,BestBuy,Health,743.54,Debit Card,Declined,Chicago,2025,1,7,706.3629999999999,High,2025-01-07,False,60,Female,Inactive
147,233,2025-01-07,Online,Target,Clothing,174.03,Debit Card,Declined,Los Angeles,2025,1,7,174.03,Medium,2025-01-07,False,60,Female,Suspended
148,259,2025-01-07,ATM,Target,Dining,199.0,Debit Card,Approved,Los Angeles,2025,1,7,199.0,Medium,2025-01-07,False,52,Other,Suspended
149,198,2025-01-07,Online,Costco,Entertainment,890.96,Credit Card,Declined,Miami,2025,1,7,846.412,High,2025-01-07,True,39,Other,Active
150,137,2025-01-07,Online,Costco,Health,751.23,Debit Card,Declined,Seattle,2025,1,7,713.6685,High,2025-01-07,False,45,Male,Active
151,165,2025-01-07,POS,eBay,Health,908.69,Credit Card,Declined,Houston,2025,1,7,863.2555,High,2025-01-07,False,53,Female,Active
152,225,2025-01-07,Online,Target,Entertainment,759.92,Debit Card,Approved,New York,2025,1,7,721.924,High,2025-01-07,False,66,Male,Inactive
153,234,2025-01-07,POS,Expedia,Clothing,599.17,Debit Card,Pending,New York,2025,1,7,569.2114999999999,High,2025-01-07,False,23,Other,Active
154,172,2025-01-07,ATM,Walmart,Dining,655.86,Debit Card,Pending,Chicago,2025,1,7,623.067,High,2025-01-07,False,43,Male,Active
155,152,2025-01-07,Online,BestBuy,Travel,889.68,Debit Card,Declined,Miami,2025,1,7,845.1959999999999,High,2025-01-07,True,34,Other,Inactive
156,160,2025-01-07,ATM,Costco,Entertainment,580.91,Debit Card,Approved,Chicago,2025,1,7,551.8644999999999,High,2025-01-07,False,42,Other,Suspended
157,96,2025-01-07,ATM,Expedia,Electronics,634.23,Debit Card,Declined,New York,2025,1,7,602.5185,High,2025-01-07,False,54,Female,Suspended
158,233,2025-01-07,Online,BestBuy,Clothing,160.69,Credit Card,Pending,Seattle,2025,1,7,160.69,Medium,2025-01-07,False,60,Female,Suspended
159,180,2025-01-07,Online,BestBuy,Entertainment,476.55,Debit Card,Approved,Seattle,2025,1,7,476.55,Medium,2025-01-07,False,63,Male,Inactive
160,113,2025-01-07,ATM,Walmart,Entertainment,717.82,Credit Card,Pending,Seattle,2025,1,7,681.929,High,2025-01-07,False,56,Male,Suspended
161,52,2025-01-07,Online,eBay,Health,274.59,Debit Card,Pending,Los Angeles,2025,1,7,274.59,Medium,2025-01-07,False,34,Other,Inactive
162,268,2025-01-07,POS,Target,Electronics,206.24,Debit Card,Approved,Houston,2025,1,7,206.24,Medium,2025-01-07,False,59,Female,Inactive
163,295,2025-01-07,POS,Walmart,Electronics,317.26,Debit Card,Approved,Miami,2025,1,7,317.26,Medium,2025-01-07,False,62,Female,Active
164,113,2025-01-07,Online,Expedia,Electronics,245.29,Credit Card,Declined,Los Angeles,2025,1,7,245.29,Medium,2025-01-07,False,56,Male,Suspended
165,101,2025-01-07,ATM,eBay,Entertainment,218.84,Credit Card,Declined,Houston,2025,1,7,218.84,Medium,2025-01-07,False,24,Female,Suspended
166,113,2025-01-07,Online,Expedia,Travel,427.73,Debit Card,Pending,Miami,2025,1,7,427.73,Medium,2025-01-07,False,56,Male,Suspended
167,81,2025-01-07,Online,eBay,Groceries,908.3,Credit Card,Approved,Miami,2025,1,7,862.8849999999999,High,2025-01-07,True,30,Other,Active
168,187,2025-01-07,ATM,Costco,Clothing,509.52,Debit Card,Approved,New York,2025,1,7,484.044,High,2025-01-07,False,25,Female,Suspended
169,113,2025-01-08,ATM,Expedia,Groceries,191.98,Debit Card,Declined,Los Angeles,2025,1,8,191.98,Medium,2025-01-08,False,56,Male,Suspended
170,2,2025-01-08,POS,Walmart,Entertainment,81.59,Credit Card,Pending,Miami,2025,1,8,81.59,Low,2025-01-08,False,53,Female,Suspended
171,130,2025-01-08,ATM,eBay,Groceries,697.68,Credit Card,Pending,San Francisco,2025,1,8,662.7959999999999,High,2025-01-08,False,42,Male,Inactive
172,220,2025-01-08,POS,eBay,Entertainment,385.88,Credit Card,Declined,Seattle,2025,1,8,385.88,Medium,2025-01-08,False,61,Male,Inactive
173,54,2025-01-08,ATM,BestBuy,Groceries,822.72,Credit Card,Approved,Miami,2025,1,8,781.584,High,2025-01-08,False,47,Male,Inactive
174,224,2025-01-08,Online,BestBuy,Electronics,661.21,Debit Card,Declined,Houston,2025,1,8,628.1495,High,2025-01-08,False,57,Other,Inactive
175,225,2025-01-08,POS,Amazon,Dining,797.26,Credit Card,Declined,New York,2025,1,8,757.3969999999999,High,2025-01-08,False,66,Male,Inactive
176,126,2025-01-08,POS,Expedia,Electronics,275.59,Credit Card,Declined,Chicago,2025,1,8,275.59,Medium,2025-01-08,False,45,Other,Inactive
177,130,2025-01-08,POS,BestBuy,Electronics,693.9,Debit Card,Declined,Seattle,2025,1,8,659.2049999999999,High,2025-01-08,False,42,Male,Inactive
178,53,2025-01-08,Online,Amazon,Health,267.74,Credit Card,Approved,New York,2025,1,8,267.74,Medium,2025-01-08,False,46,Male,Inactive
179,172,2025-01-08,Online,Costco,Health,939.37,Credit Card,Declined,Chicago,2025,1,8,892.4014999999999,High,2025-01-08,True,43,Male,Active
180,218,2025-01-08,Online,Costco,Groceries,638.19,Credit Card,Approved,Los Angeles,2025,1,8,606.2805000000001,High,2025-01-08,False,29,Male,Suspended
181,160,2025-01-08,Online,BestBuy,Entertainment,327.89,Credit Card,Declined,Los Angeles,2025,1,8,327.89,Medium,2025-01-08,False,42,Other,Suspended
182,198,2025-01-08,Online,Expedia,Electronics,273.16,Debit Card,Pending,Miami,2025,1,8,273.16,Medium,2025-01-08,False,39,Other,Active
