,Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Merchant,Category,Amount,Payment_Mode,Transaction_Status,Location,Year,Month,Day
270,100270,2746,2023-01-12,Online,Target,Entertainment,3223.8,Debit Card,Approved,Acostahaven,2023,1,12
279,100279,2049,2023-01-12,Online,Uber,Travel,4924.77,UPI,Approved,Ryanside,2023,1,12
283,100283,4665,2023-01-12,Online,Amazon,Travel,4958.69,UPI,Approved,Lake Nicholeville,2023,1,12
291,100291,3924,2023-01-13,Online,Walmart,Dining,3036.08,Credit Card,Approved,Martinezport,2023,1,13
303,100303,4991,2023-01-13,Online,Uber,Dining,4469.48,Debit Card,Approved,South Virginia,2023,1,13
306,100306,4590,2023-01-13,Online,Walmart,Dining,4445.82,PayPal,Approved,Gonzalesstad,2023,1,13
309,100309,4873,2023-01-13,Online,Walmart,Clothing,2597.55,PayPal,Approved,Port Shannon,2023,1,13
310,100310,3203,2023-01-13,Online,Amazon,Clothing,2708.79,PayPal,Pending,East James,2023,1,13
311,100311,2017,2023-01-13,Online,Netflix,Electronics,2816.32,Credit Card,Approved,Alanbury,2023,1,13
317,100317,2163,2023-01-14,Online,Target,Dining,3706.17,Debit Card,Approved,Darrenport,2023,1,14
319,100319,1813,2023-01-14,Online,Uber,Dining,4323.52,UPI,Approved,Carpenterfort,2023,1,14
321,100321,4340,2023-01-14,Online,Apple Store,Travel,4266.8,Credit Card,Declined,Schneiderberg,2023,1,14
338,100338,1310,2023-01-15,Online,Target,Entertainment,3124.19,Debit Card,Approved,East Jonathan,2023,1,15
340,100340,1480,2023-01-15,Online,Netflix,Groceries,2874.79,Debit Card,Approved,South Sarahville,2023,1,15
343,100343,2763,2023-01-15,Online,Target,Electronics,3099.85,PayPal,Approved,Popeberg,2023,1,15
356,100356,2092,2023-01-15,Online,Uber,Clothing,3326.14,UPI,Approved,Wrightberg,2023,1,15
364,100364,4479,2023-01-16,Online,Walmart,Clothing,3868.66,Credit Card,Approved,East Stevenmouth,2023,1,16
376,100376,3324,2023-01-16,Online,Amazon,Entertainment,4603.82,UPI,Pending,North Jamesshire,2023,1,16
379,100379,4684,2023-01-16,Online,Netflix,Entertainment,4043.27,UPI,Approved,Lake Ronaldberg,2023,1,16
385,100385,3368,2023-01-17,Online,Apple Store,Dining,2779.41,UPI,Approved,East Brookeville,2023,1,17
387,100387,2352,2023-01-17,Online,Walmart,Entertainment,3503.09,Credit Card,Approved,Kimport,2023,1,17
405,100405,4812,2023-01-17,Online,Uber,Clothing,4406.27,Credit Card,Approved,Colemanmouth,2023,1,17
422,100422,3613,2023-01-18,Online,Apple Store,Travel,2632.08,PayPal,Approved,Ethanville,2023,1,18
424,100424,2621,2023-01-18,Online,Uber,Travel,3085.37,UPI,Approved,Josemouth,2023,1,18
429,100429,3036,2023-01-18,Online,Walmart,Clothing,4261.5,UPI,Approved,Lisaton,2023,1,18
442,100442,4414,2023-01-19,Online,Amazon,Dining,2669.62,Debit Card,Approved,South Jennifer,2023,1,19
451,100451,4131,2023-01-19,Online,Amazon,Dining,2668.54,PayPal,Approved,Fischerhaven,2023,1,19
462,100462,1699,2023-01-20,Online,BestBuy,Groceries,3546.4,Debit Card,Approved,North David,2023,1,20
464,100464,2188,2023-01-20,Online,Netflix,Travel,3791.27,UPI,Approved,Spearstown,2023,1,20
471,100471,3485,2023-01-20,Online,BestBuy,Travel,3019.56,UPI,Approved,West Aaronberg,2023,1,20
477,100477,4429,2023-01-20,Online,Target,Travel,4923.44,UPI,Approved,Shannonside,2023,1,20
486,100486,2987,2023-01-21,Online,Target,Travel,3816.37,UPI,Approved,Barryview,2023,1,21
489,100489,1597,2023-01-21,Online,Netflix,Electronics,2743.99,PayPal,Approved,Russoberg,2023,1,21
502,100502,1464,2023-01-21,Online,Apple Store,Clothing,2643.0,Debit Card,Approved,Hardyside,2023,1,21
503,100503,1659,2023-01-21,Online,Apple Store,Dining,4892.89,Credit Card,Approved,South Johnmouth,2023,1,21
505,100505,1248,2023-01-22,Online,BestBuy,Entertainment,2676.11,Debit Card,Approved,Lauramouth,2023,1,22
506,100506,3838,2023-01-22,Online,Uber,Groceries,2535.01,UPI,Pending,Richardsland,2023,1,22
510,100510,4120,2023-01-22,Online,Target,Travel,3021.36,PayPal,Approved,Lake Alejandro,2023,1,22
525,100525,3131,2023-01-22,Online,Target,Electronics,4056.92,UPI,Approved,Saraburgh,2023,1,22
536,100536,3803,2023-01-23,Online,BestBuy,Travel,2563.33,UPI,Approved,South Amyport,2023,1,23
538,100538,3228,2023-01-23,Online,Amazon,Dining,4946.89,Credit Card,Declined,Michelletown,2023,1,23
547,100547,3095,2023-01-23,Online,Uber,Dining,3929.1,PayPal,Approved,Sandersside,2023,1,23
553,100553,4331,2023-01-24,Online,BestBuy,Entertainment,3880.87,Debit Card,Approved,North Pamela,2023,1,24
554,100554,2970,2023-01-24,Online,Walmart,Electronics,2857.34,PayPal,Declined,Leefurt,2023,1,24
558,100558,4893,2023-01-24,Online,Target,Groceries,3287.47,Debit Card,Approved,Wrightport,2023,1,24
561,100561,2701,2023-01-24,Online,Walmart,Entertainment,4489.61,Debit Card,Approved,Lake Erin,2023,1,24
562,100562,1706,2023-01-24,Online,Uber,Travel,3508.98,Debit Card,Approved,North Nicole,2023,1,24
566,100566,3502,2023-01-24,Online,Target,Clothing,2905.03,Credit Card,Approved,Michaelmouth,2023,1,24
576,100576,3620,2023-01-25,Online,Target,Electronics,3731.88,Credit Card,Approved,West Jeanetteborough,2023,1,25
584,100584,3334,2023-01-25,Online,Amazon,Dining,4067.2,PayPal,Declined,Hahnborough,2023,1,25
588,100588,4376,2023-01-25,Online,Walmart,Entertainment,3763.29,Debit Card,Approved,Lake Frank,2023,1,25
599,100599,2187,2023-01-25,Online,Uber,Dining,3638.51,UPI,Approved,Angelaborough,2023,1,25
612,100612,2822,2023-01-26,Online,Apple Store,Groceries,3428.2,Debit Card,Approved,West Brianmouth,2023,1,26
619,100619,1988,2023-01-26,Online,Apple Store,Groceries,3572.72,PayPal,Declined,Christineton,2023,1,26
636,100636,4848,2023-01-27,Online,Walmart,Travel,2531.03,PayPal,Approved,Flowersfurt,2023,1,27
653,100653,3003,2023-01-28,Online,Walmart,Clothing,3674.36,UPI,Approved,Davistown,2023,1,28
654,100654,1508,2023-01-28,Online,Netflix,Dining,3623.88,UPI,Approved,Port Brandonside,2023,1,28
659,100659,2262,2023-01-28,Online,Amazon,Clothing,4442.83,PayPal,Approved,East Mark,2023,1,28
660,100660,1232,2023-01-28,Online,Walmart,Electronics,3556.55,PayPal,Approved,South Gabriellehaven,2023,1,28
674,100674,1102,2023-01-29,Online,Amazon,Dining,3222.69,PayPal,Approved,Ramosville,2023,1,29
678,100678,4247,2023-01-29,Online,Netflix,Travel,4504.49,Credit Card,Approved,Muellermouth,2023,1,29
698,100698,3830,2023-01-30,Online,Uber,Travel,3210.79,UPI,Approved,South Jameston,2023,1,30
715,100715,3080,2023-01-30,Online,Walmart,Groceries,3400.26,PayPal,Approved,Davisstad,2023,1,30
716,100716,3973,2023-01-30,Online,Amazon,Groceries,2667.66,Debit Card,Approved,Bonillaburgh,2023,1,30
751,100751,3541,2023-02-01,Online,Netflix,Groceries,4962.5,Debit Card,Declined,West Samanthahaven,2023,2,1
752,100752,2722,2023-02-01,Online,Apple Store,Groceries,3100.8,Credit Card,Approved,Morganton,2023,2,1
754,100754,1605,2023-02-01,Online,Amazon,Groceries,2821.06,Debit Card,Approved,East Shaunfort,2023,2,1
758,100758,2952,2023-02-01,Online,Walmart,Travel,2529.46,PayPal,Approved,Port Ronaldville,2023,2,1
764,100764,3194,2023-02-01,Online,Uber,Travel,4303.62,Credit Card,Approved,East Judy,2023,2,1
767,100767,2884,2023-02-01,Online,Amazon,Clothing,2549.76,Credit Card,Approved,Alexandrabury,2023,2,1
777,100777,4775,2023-02-02,Online,Target,Dining,4404.02,PayPal,Pending,West Amanda,2023,2,2
780,100780,2174,2023-02-02,Online,Amazon,Entertainment,4468.64,UPI,Approved,South Gabrielchester,2023,2,2
782,100782,3982,2023-02-02,Online,Netflix,Dining,4871.94,Debit Card,Approved,North Monica,2023,2,2
785,100785,2318,2023-02-02,Online,BestBuy,Clothing,4195.2,PayPal,Approved,Matthewton,2023,2,2
792,100792,1512,2023-02-03,Online,Uber,Clothing,3625.1,UPI,Approved,Pittmanmouth,2023,2,3
798,100798,2639,2023-02-03,Online,Uber,Electronics,3326.46,Credit Card,Approved,South Holly,2023,2,3
800,100800,4778,2023-02-03,Online,Uber,Dining,3672.74,Debit Card,Approved,Spencerfort,2023,2,3
805,100805,1782,2023-02-03,Online,Netflix,Entertainment,3890.91,PayPal,Approved,Knappfort,2023,2,3
814,100814,3031,2023-02-03,Online,BestBuy,Groceries,3659.91,PayPal,Declined,West Parkerport,2023,2,3
827,100827,1174,2023-02-04,Online,Apple Store,Travel,2687.32,Debit Card,Approved,Port Jenniferland,2023,2,4
831,100831,3520,2023-02-04,Online,Amazon,Travel,3955.09,PayPal,Approved,Port Tiffanyburgh,2023,2,4
836,100836,4845,2023-02-04,Online,Netflix,Groceries,4199.65,UPI,Declined,Mccannbury,2023,2,4
837,100837,3228,2023-02-04,Online,Walmart,Groceries,3628.89,Debit Card,Approved,East Gregorybury,2023,2,4
850,100850,3757,2023-02-05,Online,Apple Store,Entertainment,2705.95,Credit Card,Approved,South Nancyview,2023,2,5
851,100851,1245,2023-02-05,Online,Netflix,Entertainment,4040.92,PayPal,Approved,Andersonbury,2023,2,5
859,100859,4549,2023-02-05,Online,Apple Store,Clothing,2591.09,UPI,Approved,East Meganborough,2023,2,5
861,100861,2328,2023-02-05,Online,Amazon,Travel,3561.93,PayPal,Approved,Dominicview,2023,2,5
882,100882,1328,2023-02-06,Online,Walmart,Electronics,2975.24,Debit Card,Approved,North Jamesborough,2023,2,6
892,100892,1124,2023-02-07,Online,Amazon,Groceries,2990.15,Debit Card,Declined,Christopherfurt,2023,2,7
895,100895,3951,2023-02-07,Online,BestBuy,Entertainment,4369.43,UPI,Approved,West John,2023,2,7
918,100918,2573,2023-02-08,Online,Target,Dining,2577.56,Credit Card,Approved,South Teresa,2023,2,8
921,100921,4294,2023-02-08,Online,Amazon,Groceries,3468.45,Debit Card,Approved,New Timothyport,2023,2,8
922,100922,3593,2023-02-08,Online,Walmart,Travel,4761.09,Credit Card,Approved,Leeside,2023,2,8
926,100926,1003,2023-02-08,Online,Target,Electronics,2776.66,PayPal,Approved,Lake Peterbury,2023,2,8
927,100927,3449,2023-02-08,Online,Amazon,Dining,3809.41,PayPal,Approved,Kristinport,2023,2,8
946,100946,3400,2023-02-09,Online,Amazon,Travel,3217.0,Credit Card,Approved,South Sarahmouth,2023,2,9
962,100962,4753,2023-02-10,Online,Uber,Dining,3309.68,PayPal,Approved,South Williebury,2023,2,10
964,100964,4001,2023-02-10,Online,Walmart,Dining,3142.79,Debit Card,Approved,East Daniel,2023,2,10
967,100967,1346,2023-02-10,Online,Target,Groceries,4806.38,Debit Card,Approved,Peterton,2023,2,10
975,100975,1323,2023-02-10,Online,Netflix,Electronics,4395.02,PayPal,Approved,North Jennifer,2023,2,10
986,100986,3352,2023-02-11,Online,Target,Clothing,3457.97,UPI,Approved,Dunlapmouth,2023,2,11
994,100994,2433,2023-02-11,Online,Amazon,Entertainment,3154.55,Credit Card,Approved,South Frederickbury,2023,2,11
999,100999,4248,2023-02-11,Online,Netflix,Clothing,3044.92,Credit Card,Approved,East Mercedestown,2023,2,11
1004,101004,3276,2023-02-11,Online,BestBuy,Dining,3135.54,Debit Card,Approved,Kochborough,2023,2,11
1009,101009,1287,2023-02-12,Online,Walmart,Groceries,2613.79,PayPal,Approved,Maureenmouth,2023,2,12
1011,101011,2690,2023-02-12,Online,BestBuy,Clothing,3402.76,UPI,Approved,Port Trevor,2023,2,12
1025,101025,4542,2023-02-12,Online,Target,Clothing,4831.38,Debit Card,Declined,Rodriguezborough,2023,2,12
1026,101026,2184,2023-02-12,Online,BestBuy,Travel,2575.97,UPI,Approved,West Josephshire,2023,2,12
1027,101027,4510,2023-02-12,Online,Walmart,Clothing,4081.54,PayPal,Approved,North Heather,2023,2,12
1036,101036,4087,2023-02-13,Online,Walmart,Electronics,3369.21,PayPal,Approved,Port Tyler,2023,2,13
1056,101056,2932,2023-02-14,Online,Amazon,Entertainment,4650.91,Credit Card,Approved,New Shelbyshire,2023,2,14
1058,101058,4313,2023-02-14,Online,Walmart,Dining,4132.13,Credit Card,Approved,Smithland,2023,2,14
1100,101100,3121,2023-02-15,Online,BestBuy,Entertainment,4090.01,Credit Card,Declined,West Josefort,2023,2,15
1114,101114,4265,2023-02-16,Online,Uber,Groceries,4636.05,UPI,Approved,Leechester,2023,2,16
1123,101123,1645,2023-02-16,Online,Netflix,Entertainment,4690.14,Credit Card,Approved,Port Joshua,2023,2,16
1125,101125,3512,2023-02-16,Online,BestBuy,Travel,2630.35,PayPal,Approved,Evanstown,2023,2,16
1126,101126,1981,2023-02-16,Online,BestBuy,Clothing,4670.58,UPI,Approved,Paulbury,2023,2,16
1129,101129,3992,2023-02-17,Online,Apple Store,Entertainment,4082.73,Debit Card,Approved,Wagnermouth,2023,2,17
1141,101141,4263,2023-02-17,Online,Netflix,Clothing,2858.68,UPI,Approved,Haleytown,2023,2,17
1143,101143,4557,2023-02-17,Online,Apple Store,Travel,3338.65,Credit Card,Approved,Lake Belindafort,2023,2,17
1149,101149,3976,2023-02-17,Online,Target,Entertainment,3599.45,UPI,Pending,Lake Jillton,2023,2,17
1159,101159,2245,2023-02-18,Online,Walmart,Electronics,4077.29,UPI,Approved,West Brandon,2023,2,18
1164,101164,2650,2023-02-18,Online,Uber,Dining,2927.93,UPI,Declined,Port Rebecca,2023,2,18
1166,101166,2961,2023-02-18,Online,BestBuy,Dining,3346.32,PayPal,Approved,Kleinhaven,2023,2,18
1183,101183,4745,2023-02-19,Online,Apple Store,Electronics,3094.7,Debit Card,Pending,Garciamouth,2023,2,19
1189,101189,2781,2023-02-19,Online,Uber,Electronics,3911.0,Credit Card,Approved,Grayfurt,2023,2,19
1191,101191,4856,2023-02-19,Online,Netflix,Entertainment,4077.04,Credit Card,Approved,Anthonytown,2023,2,19
1197,101197,4528,2023-02-19,Online,BestBuy,Clothing,2554.95,Debit Card,Approved,New Jeffreyburgh,2023,2,19
1200,101200,3759,2023-02-20,Online,Target,Travel,2812.46,Credit Card,Approved,Christinemouth,2023,2,20
1205,101205,1272,2023-02-20,Online,Uber,Electronics,4092.24,Credit Card,Approved,Lake Kellyborough,2023,2,20
1216,101216,4865,2023-02-20,Online,Uber,Groceries,3366.16,Debit Card,Approved,West Laura,2023,2,20
1224,101224,4811,2023-02-21,Online,Walmart,Entertainment,4711.74,Credit Card,Approved,Janicemouth,2023,2,21
1226,101226,3700,2023-02-21,Online,Walmart,Travel,4538.26,UPI,Approved,West Tony,2023,2,21
1229,101229,4199,2023-02-21,Online,Walmart,Entertainment,4316.9,PayPal,Approved,Mayermouth,2023,2,21
1240,101240,4739,2023-02-21,Online,Uber,Dining,3035.93,Debit Card,Approved,New Ericstad,2023,2,21
1243,101243,2078,2023-02-21,Online,Netflix,Dining,3956.75,PayPal,Approved,East Nicolebury,2023,2,21
1244,101244,3467,2023-02-21,Online,Walmart,Groceries,3175.74,Debit Card,Approved,South James,2023,2,21
1255,101255,3753,2023-02-22,Online,Target,Travel,3333.49,PayPal,Approved,Lake Danielle,2023,2,22
1259,101259,1593,2023-02-22,Online,Netflix,Electronics,3906.65,PayPal,Approved,West Elizabeth,2023,2,22
1265,101265,3911,2023-02-22,Online,BestBuy,Dining,2620.33,PayPal,Approved,West Patriciabury,2023,2,22
1276,101276,4256,2023-02-23,Online,BestBuy,Entertainment,3765.88,Credit Card,Approved,Lake Shannon,2023,2,23
1282,101282,3878,2023-02-23,Online,Apple Store,Entertainment,4903.52,UPI,Approved,Shawville,2023,2,23
1284,101284,4302,2023-02-23,Online,Walmart,Entertainment,3624.69,PayPal,Approved,Port Michele,2023,2,23
1317,101317,2796,2023-02-24,Online,Walmart,Travel,4111.85,Credit Card,Approved,Burtonport,2023,2,24
1336,101336,2896,2023-02-25,Online,Apple Store,Travel,4104.27,Debit Card,Approved,Fosterview,2023,2,25
1342,101342,2649,2023-02-25,Online,Apple Store,Travel,2797.21,Credit Card,Approved,South Kellyland,2023,2,25
1345,101345,4056,2023-02-26,Online,Amazon,Electronics,2600.61,UPI,Approved,Lake Tammy,2023,2,26
1347,101347,3994,2023-02-26,Online,Netflix,Entertainment,4149.33,PayPal,Declined,East Jeffreybury,2023,2,26
1367,101367,2960,2023-02-26,Online,BestBuy,Clothing,2844.59,Debit Card,Pending,Mayhaven,2023,2,26
1377,101377,4581,2023-02-27,Online,Netflix,Travel,2689.78,Credit Card,Declined,Ryanhaven,2023,2,27
1381,101381,2121,2023-02-27,Online,Netflix,Electronics,3516.45,PayPal,Approved,Hartport,2023,2,27
1383,101383,4334,2023-02-27,Online,Walmart,Dining,3806.97,Credit Card,Declined,Michaelhaven,2023,2,27
1390,101390,1296,2023-02-27,Online,Apple Store,Dining,3544.42,Credit Card,Approved,Martinezmouth,2023,2,27
1391,101391,4264,2023-02-27,Online,Apple Store,Dining,3134.18,Credit Card,Approved,Jamesland,2023,2,27
1397,101397,2124,2023-02-28,Online,Target,Travel,3943.22,Debit Card,Approved,Payneburgh,2023,2,28
1403,101403,1043,2023-02-28,Online,BestBuy,Travel,4273.37,Debit Card,Approved,Spencefort,2023,2,28
1415,101415,4304,2023-02-28,Online,Target,Travel,4214.51,PayPal,Approved,East Kevin,2023,2,28
1423,101423,1106,2023-03-01,Online,BestBuy,Electronics,2612.4,Credit Card,Approved,North Benjamin,2023,3,1
1425,101425,4936,2023-03-01,Online,Uber,Groceries,3900.97,Credit Card,Approved,Lake Megan,2023,3,1
1430,101430,2740,2023-03-01,Online,Walmart,Groceries,3538.72,Debit Card,Approved,Paulmouth,2023,3,1
1431,101431,3134,2023-03-01,Online,Amazon,Travel,3409.62,UPI,Declined,Lake Maureen,2023,3,1
1435,101435,3962,2023-03-01,Online,Apple Store,Clothing,3750.51,Debit Card,Approved,New Jessica,2023,3,1
1438,101438,4232,2023-03-01,Online,Walmart,Dining,4719.04,Credit Card,Approved,Port Christian,2023,3,1
1457,101457,3957,2023-03-02,Online,Target,Clothing,4777.01,Debit Card,Approved,Port Pamelaview,2023,3,2
1458,101458,3417,2023-03-02,Online,BestBuy,Electronics,4989.76,PayPal,Approved,Harperborough,2023,3,2
1461,101461,3943,2023-03-02,Online,Netflix,Groceries,4815.99,Debit Card,Approved,Andrewtown,2023,3,2
1475,101475,2441,2023-03-03,Online,BestBuy,Electronics,4568.78,UPI,Approved,Hannahburgh,2023,3,3
1477,101477,4055,2023-03-03,Online,Netflix,Dining,3467.04,PayPal,Approved,Lake Laura,2023,3,3
1482,101482,2803,2023-03-03,Online,Walmart,Travel,2651.72,Debit Card,Declined,Michaelstad,2023,3,3
1483,101483,1355,2023-03-03,Online,Uber,Travel,4656.83,Credit Card,Approved,Charlesview,2023,3,3
1484,101484,2403,2023-03-03,Online,Apple Store,Groceries,4254.22,UPI,Approved,Lambertmouth,2023,3,3
1487,101487,2891,2023-03-03,Online,Netflix,Electronics,3995.96,Debit Card,Approved,North Terrifort,2023,3,3
1491,101491,2281,2023-03-04,Online,Amazon,Groceries,3736.42,PayPal,Approved,Vancetown,2023,3,4
1493,101493,2409,2023-03-04,Online,Walmart,Electronics,4976.1,UPI,Approved,New Susanchester,2023,3,4
1495,101495,2030,2023-03-04,Online,Uber,Dining,3820.94,PayPal,Approved,West Tiffany,2023,3,4
1502,101502,2817,2023-03-04,Online,BestBuy,Electronics,4448.14,PayPal,Approved,Michaelburgh,2023,3,4
1506,101506,2765,2023-03-04,Online,Uber,Electronics,4646.62,PayPal,Approved,Lake Laurenfurt,2023,3,4
1511,101511,1138,2023-03-04,Online,BestBuy,Dining,4396.11,PayPal,Approved,North Edward,2023,3,4
1521,101521,4150,2023-03-05,Online,Netflix,Clothing,2592.1,PayPal,Declined,North Christopherside,2023,3,5
1530,101530,1477,2023-03-05,Online,Walmart,Entertainment,4481.3,Debit Card,Approved,Madisonview,2023,3,5
1549,101549,1748,2023-03-06,Online,Target,Travel,3806.72,UPI,Approved,Keithfort,2023,3,6
1557,101557,1703,2023-03-06,Online,Walmart,Clothing,3753.05,Debit Card,Pending,Ponceview,2023,3,6
1560,101560,3708,2023-03-07,Online,BestBuy,Groceries,4328.86,Credit Card,Approved,North Joelland,2023,3,7
1564,101564,2441,2023-03-07,Online,Walmart,Clothing,3571.11,PayPal,Pending,New Jeffrey,2023,3,7
1574,101574,2590,2023-03-07,Online,Walmart,Travel,3448.46,PayPal,Approved,West Lorihaven,2023,3,7
1575,101575,1321,2023-03-07,Online,Target,Travel,4987.09,PayPal,Approved,Robertberg,2023,3,7
1586,101586,3255,2023-03-08,Online,BestBuy,Electronics,4716.05,Credit Card,Declined,Rebeccaton,2023,3,8
1589,101589,3167,2023-03-08,Online,Uber,Electronics,2537.9,Credit Card,Approved,West Kevinside,2023,3,8
1595,101595,1828,2023-03-08,Online,BestBuy,Groceries,4229.23,Debit Card,Approved,North Mary,2023,3,8
1609,101609,3664,2023-03-09,Online,Apple Store,Groceries,3343.06,PayPal,Approved,New Toddtown,2023,3,9
1617,101617,2984,2023-03-09,Online,Amazon,Dining,2661.74,PayPal,Approved,East Calvinburgh,2023,3,9
1624,101624,4418,2023-03-09,Online,Amazon,Groceries,4822.43,UPI,Approved,Potterview,2023,3,9
1627,101627,2469,2023-03-09,Online,Amazon,Clothing,3056.14,Debit Card,Approved,Masonshire,2023,3,9
1628,101628,2696,2023-03-09,Online,Apple Store,Groceries,3963.86,PayPal,Approved,Davisborough,2023,3,9
1642,101642,4477,2023-03-10,Online,Netflix,Groceries,3968.54,UPI,Approved,Gonzalezhaven,2023,3,10
1653,101653,2085,2023-03-10,Online,Target,Clothing,2994.91,PayPal,Approved,New Theresa,2023,3,10
1658,101658,3031,2023-03-11,Online,Apple Store,Clothing,4980.56,UPI,Approved,Jonathanview,2023,3,11
1659,101659,4627,2023-03-11,Online,Netflix,Clothing,4069.62,Credit Card,Approved,Juanbury,2023,3,11
1678,101678,1653,2023-03-11,Online,Amazon,Travel,3383.52,Credit Card,Approved,North Daniellemouth,2023,3,11
1687,101687,2769,2023-03-12,Online,Amazon,Travel,4669.79,Debit Card,Approved,West Jamesland,2023,3,12
1690,101690,2758,2023-03-12,Online,Netflix,Clothing,4156.73,UPI,Approved,Tiffanyton,2023,3,12
1692,101692,3553,2023-03-12,Online,Target,Travel,4932.13,Debit Card,Pending,Browningburgh,2023,3,12
1697,101697,1299,2023-03-12,Online,Uber,Electronics,4193.21,PayPal,Approved,East Kelseyville,2023,3,12
1715,101715,3947,2023-03-13,Online,Uber,Entertainment,4936.23,PayPal,Approved,Port Davidmouth,2023,3,13
