Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,6476.4824,279.74,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,56997.156,7844.97,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,52377.6689,1949.38,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,5125.2354,855.92,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,52591.28,578.94,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,5462.3451,417.44,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,51547.644,9244.92,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,49298.9741,569.16,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,436.4411,4195.8,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,6263.824,5788.37,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,68888.9515,759.41,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,56884.1676,,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,46425.4721,292.35,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,6911.694,5227.31,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75621,11131.12,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,59881.43,3328.4,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,46638.1343,,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,596.725,2195.5,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,68326.2786,1542.99,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,44693.484,1.49,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,436.4359,4196.9,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,57714.475,757.81,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,49948.65,281.74,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,55968.2496,2535.85,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,42126.25,3154,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,42126.25,1182.87,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,6348.1621,11486.92,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,42277.68,1472.7,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,42277.68,252.65,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,528.82,1791.42,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,66572,3148.64,582.55,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,69442,244.69,2547.59,13
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,8613,1969.9,,N18
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,5573.537,127.73,,13
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,F,76668,3226.55,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,54582.5153,8382.14,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,59394.1592,3619.49,,13
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,56662.7289,1224.96,,13
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46468.8889,2123.38,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,49825.9489,452.32,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,93986.2,2559.32,,N2
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46468.6211,11466.39,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,52641.5788,1848.36,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,52641.5788,598.25,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,539.312,3892.88,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,51569.8582,2546.11,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46468.6263,3519.93,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,49826.3791,3714.56,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,5173.5768,3262.58,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46468.6211,632.65,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,45929.49,6845.84,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46681.2841,1539.66,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,45254.34,1368.58,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46862.73,259.35,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,43724,133,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,66572,58.34,197.4,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,69442,94.73,549.4,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,69442,558.68,549.4,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,69442,6732.45,549.1,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,66572,7.21,3137.75,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,58571.1182,35.88,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,F,56922.265,6156.95,,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,59376.1,2171.54,,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,58877.7277,5992.54,,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,58877.7277,518.79,,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,593.2323,82.16,,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,593.2162,55.68,,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,59591.786,1688.45,,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,6985.575,5951.34,,N17
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,52918.8229,578.52,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,64829.58,6895.97,,N18
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,48575.6793,24.87,,13
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,16614.3,,,M2
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,85714.4272,,,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,99335.745,154.34,,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,94334.247,,,N25
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,6548.48,377.81,,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,117424,,,N25
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,755,,,18
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,77452.155,,,18
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,98349,,,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,64633,,,16
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,54583,,,18
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,6124,6686.59,987.51,1
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,6124,1211.31,,1
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,6124,648.36,,1
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,82146.3286,18658.36,,N18
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,75621,285.84,3569.81,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,75621.32,7168.3,3572.82,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,75621,1554.96,3572.57,15
ABS,Alcohol Beverage Services,ABS 85 Wholesale Operations,M,98228,,,21
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,55148,1472.55,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,4923,2655.45,,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,87927,,,N2
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,72463,1182.12,5733.72,14
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,7452.4518,,,N18
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,F,47447.911,132.22,,12
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,F,58239.9985,536.86,,14
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,2447.6555,6.3,,12
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,9422.595,23.5,,N21
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,22627.17,932.95,,12
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,21862,37.55,,12
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,98228,,,N21
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,72463,137.53,342.64,14
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,66846.7361,1.71,,14
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,766.89,,,N18
ABS,Alcohol Beverage Services,ABS 85 Cabin John,F,45974.7155,1141.78,,12
ABS,Alcohol Beverage Services,ABS 85 Cabin John,F,44754.6895,697.57,,12
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,24779.5625,226.32,,12
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,21862,863.98,,12
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,96329.8444,134.41,,N21
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,8548.7344,2287.24,,N18
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,6695.9736,368.5,,14
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,24779.2732,314.28,,12
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,22627.17,23.52,,12
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,21862,77.33,,12
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,72463,142.59,724.64,14
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,8481.2485,1422.37,,N21
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,7127.1769,391.52,,14
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,6813,88.62,,14
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,47447.9116,28.67,,12
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,45974.7155,16.4,,12
ABS,Alcohol Beverage Services,ABS 85 Cloverly,F,2731.164,154.9,,12
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,21862,125.44,,12
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,72463,59.8,1177.55,14
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,9375.561,,,N21
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,72463,533.47,,14
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,45974.7317,12.8,,12
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,45974.7155,18.84,,12
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,62781.9443,156.16,,14
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,68473.5124,,,N18
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,21862,,,12
ABS,Alcohol Beverage Services,ABS 85 Director,F,236,,,EX1
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,F,48889.6586,831.9,,12
ABS,Alcohol Beverage Services,ABS 85 Director's Office,M,82784.3253,496.18,,18
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,13387.135,717.7,,N28
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,8278.3811,436.44,,18
ABS,Alcohol Beverage Services,ABS 85 Director's Office,M,8613,32.94,6836.38,18
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,1345,,5747.8,N28
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,8529.83,241.8,,N21
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,8613,471.76,,18
ABS,Alcohol Beverage Services,ABS 85 Director's Office,M,4625.8,,,N16
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,72463,361.58,342.79,14
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,53257.6,311.9,578.5,12
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,72463,24.33,16.37,14
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,F,87532.4427,2319.31,,N21
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,6267.646,129.64,,14
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,43419.9874,58.38,,12
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,F,5771.6433,1427.9,,N18
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,22627.17,8167.94,,12
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,21862,,,12
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,21862,7.32,,12
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,F,72463.2,81.89,224.91,14
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,F,33286,55.27,1479.28,12
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,F,68435.9,113.48,,N18
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,M,6282.3373,1249.39,,14
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,M,21862,473.56,,12
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,M,91811.2,263.52,,N21
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,8239.246,,,N21
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,F,72463,183.44,342.8,14
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,78883.226,131.98,,N18
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,46144.8795,9562.78,,12
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,46144.8787,3653.65,,12
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,F,22627.17,56.95,,12
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,F,98228,,,N21
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,21862,268.41,,12
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,82733.916,962.71,,N18
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,F,6282.332,993.74,,14
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,72559.2339,456.28,,N21
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,4782.115,267.56,,14
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,52456.563,2287.77,,14
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,2447.6555,486.46,,12
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,21864.1,74.37,,12
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,F,21862,,,12
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,21862,,,12
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,53257.6,113.26,4332.4,12
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,6683.4184,366.55,,14
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,75233.496,,,N18
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,63215.25,5331.3,,14
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,45974.7317,3165.35,,12
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,F,698.636,5422.71,,14
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,22551.3425,2.85,,12
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,19695.5,,,12
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,19695.5,,,12
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,92459.655,128.88,,N21
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,F,21862,,,12
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,98228,,,N21
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,8613.15,583.86,3665.73,N18
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,64631.773,18.35,,14
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,F,6524.88,382.3,,14
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,43981.511,,,12
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,F,44584.4143,71.12,,12
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,22551.3425,223,,12
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,21862,,,12
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,21862,5.68,,12
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,21862,19.14,,12
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,15294,,,M3
ABS,Alcohol Beverage Services,ABS 85 IT Administration,F,122842,,584.66,26
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,89948,5882.75,457.73,19
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,119572,,,N26
ABS,Alcohol Beverage Services,ABS 85 IT Administration,F,13167,,,N28
ABS,Alcohol Beverage Services,ABS 85 IT Administration,F,1115.27,,,26
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,133713,1478.74,,N28
ABS,Alcohol Beverage Services,ABS 85 Kensington,F,77646.349,81.16,,N18
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,95579.4474,84.32,,N21
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,2447.5114,311.45,,12
ABS,Alcohol Beverage Services,ABS 85 Kensington,F,6267.631,865.22,,14
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,41943.15,359.6,,12
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,57276.881,156.41,,14
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,2334.6395,58.8,,12
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,2334.6395,178.75,,12
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,21862,69.72,,12
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,98228,244.39,,N21
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,53257.6,469.12,467.3,12
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,6669.4462,182.37,,14
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,43249.8667,456.4,,12
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,2447.9327,2.13,,12
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,53214.6496,194.83,,14
ABS,Alcohol Beverage Services,ABS 85 Kingsview,M,98228,,4186.89,N21
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,8613,,,N18
ABS,Alcohol Beverage Services,ABS 85 Kingsview,M,72463,38.82,1396.88,14
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,53257.6,96.11,,12
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,45974.7115,528.85,,12
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,6267.646,172.78,,14
ABS,Alcohol Beverage Services,ABS 85 Kingsview,M,41943.1365,915.57,,12
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,21862,164.5,,12
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,72463.2,468.1,,14
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,79935.1895,,,N18
ABS,Alcohol Beverage Services,ABS 85 Leisure World,M,98228,,,N21
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,44754.6895,1577.22,,12
ABS,Alcohol Beverage Services,ABS 85 Leisure World,M,56537.925,32.59,,14
ABS,Alcohol Beverage Services,ABS 85 Leisure World,M,2334.6395,59.3,,12
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,21862,89.69,,12
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,12682,283.71,,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,117424,,1761.4,N25
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,12682,,8175.59,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,12682,889.83,1668.68,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,12682,,,22
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,48538.622,1145.52,,12
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,45974.74,254.32,,12
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,61499.1622,287.7,,14
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,69442,1185.86,167.77,1
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,6124,291.82,,1
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,69552.8833,5999.5,,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,7187.454,1566.1,,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,52591.28,6526.78,,1
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,5618.923,1324.7,,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,48974.9535,3.54,,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,46257.818,2471.47,,1
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,75621,39.89,,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,6171.9557,198.57,,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,4496.3556,74.72,,1
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,37793.25,178.84,,1
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,75621,3714.72,,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,57927.1383,864.98,,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,51772.2,1643.79,,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,49333,1323.63,,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,615,2947.39,,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,63,159.6,,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,82436,16835.31,,N17
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,65748.8722,2661.7,,12
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,66572,778.28,181.87,12
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,66572,3137.14,5218.63,12
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,93986,21857.36,,N2
