Voter_ID,Age,Income,Education_Level,Gender,Employment_Status,Marital_Status,Children,Own_House,City_Type,Political_Interest,Voting_History,Internet_Usage_Hours,TV_Watch_Hours,News_Following,Preferred_News_Source,Religious,Environmental_Concern,Trust_in_Government,Party_Vote
74,46,89182,PhD,Female,Self-employed,Divorced,0,No,Suburban,Low,Never,3,5,Occasionally,Social Media,Yes,Medium,Low,NO
75,32,50737,PhD,Male,Self-employed,Widowed,0,No,Suburban,Low,Often,7,7,Regularly,Internet,No,Low,Low,YES
76,62,116332,Master,Male,Retired,Widowed,0,No,Suburban,Medium,Rarely,8,7,Occasionally,TV,No,High,High,YES
77,82,104563,PhD,Other,Retired,Divorced,3,No,Suburban,Low,Never,9,6,Never,TV,No,Low,Medium,NO
78,88,143575,Master,Female,Employed,Widowed,3,Yes,Suburban,Low,Often,1,3,Never,Internet,Yes,Low,Medium,YES
79,26,116371,High School,Other,Self-employed,Married,4,No,Suburban,Medium,Always,5,5,Never,Internet,No,Medium,Low,NO
80,18,53709,Bachelor,Female,Student,Divorced,1,No,Suburban,High,Rarely,4,3,Regularly,Internet,No,High,Low,YES
81,25,36172,No Formal Education,Male,Self-employed,Widowed,2,Yes,Rural,Medium,Never,4,6,Occasionally,Internet,No,High,Low,YES
82,80,26555,High School,Female,Self-employed,Divorced,2,Yes,Rural,Low,Always,9,0,Regularly,Newspaper,Yes,High,Medium,YES
83,28,68276,PhD,Male,Retired,Divorced,2,Yes,Suburban,Medium,Never,2,4,Never,Social Media,No,Low,Low,YES
84,25,72492,No Formal Education,Female,Self-employed,Divorced,0,Yes,Suburban,Low,Often,7,9,Occasionally,Newspaper,Yes,High,High,YES
85,52,104599,Bachelor,Other,Self-employed,Single,3,No,Rural,Low,Often,7,9,Never,Social Media,No,High,High,NO
86,52,26046,Bachelor,Male,Student,Widowed,1,No,Rural,Medium,Always,4,3,Occasionally,Social Media,No,Low,Low,YES
87,50,131021,Master,Other,Retired,Single,0,No,Rural,Low,Never,7,6,Occasionally,Social Media,Yes,Medium,High,YES
88,22,19853,No Formal Education,Other,Self-employed,Widowed,3,No,Suburban,High,Rarely,9,8,Regularly,Newspaper,Yes,Medium,High,YES
89,58,135900,Master,Male,Unemployed,Married,3,Yes,Urban,Low,Rarely,7,4,Occasionally,Internet,No,Low,High,YES
90,45,74129,High School,Male,Employed,Married,5,No,Urban,Medium,Always,2,3,Never,Newspaper,No,Medium,High,YES
91,24,129130,No Formal Education,Other,Student,Married,5,No,Urban,High,Always,1,8,Occasionally,Newspaper,No,Medium,High,YES
92,89,136789,High School,Other,Self-employed,Widowed,1,Yes,Urban,High,Always,8,4,Never,Social Media,Yes,Medium,Medium,YES
93,29,53890,Master,Other,Unemployed,Divorced,1,No,Suburban,Low,Never,1,8,Regularly,TV,Yes,High,Low,NO
94,51,81017,No Formal Education,Other,Self-employed,Divorced,1,No,Urban,Medium,Rarely,8,7,Never,TV,No,Medium,High,NO
95,50,147596,Master,Male,Self-employed,Single,0,No,Rural,Low,Rarely,3,3,Occasionally,Newspaper,No,High,Low,YES
96,65,115424,No Formal Education,Male,Retired,Single,4,No,Rural,Low,Rarely,1,6,Never,Social Media,Yes,Medium,High,NO
97,40,30048,Master,Other,Retired,Married,1,Yes,Urban,Medium,Always,9,4,Never,Newspaper,Yes,High,Medium,YES
98,79,69912,Bachelor,Female,Retired,Single,5,Yes,Rural,Medium,Rarely,0,9,Occasionally,Newspaper,No,Low,Medium,NO
99,54,49008,Master,Female,Unemployed,Widowed,4,Yes,Suburban,Low,Often,3,3,Never,Internet,Yes,Low,High,YES
100,61,146132,Bachelor,Male,Self-employed,Widowed,0,Yes,Urban,High,Always,8,4,Occasionally,Social Media,No,Medium,High,YES
101,52,98559,Master,Other,Employed,Single,4,Yes,Urban,Low,Rarely,8,4,Regularly,TV,Yes,High,High,NO
102,82,70337,No Formal Education,Other,Student,Single,2,No,Suburban,High,Never,3,8,Never,TV,No,Low,Medium,YES
103,64,125616,No Formal Education,Male,Retired,Single,4,No,Rural,Low,Always,8,8,Regularly,TV,No,Low,Medium,NO
104,20,28350,No Formal Education,Female,Retired,Single,1,Yes,Suburban,Medium,Often,5,5,Never,Newspaper,No,Low,Low,YES
105,18,39354,PhD,Female,Self-employed,Married,0,Yes,Suburban,High,Often,0,3,Never,Social Media,Yes,Low,Medium,YES
106,22,60186,High School,Female,Self-employed,Married,1,Yes,Rural,Medium,Never,9,1,Regularly,Internet,No,Medium,High,YES
107,31,43145,No Formal Education,Male,Unemployed,Single,5,No,Suburban,Medium,Never,5,2,Never,TV,No,High,Low,YES
108,44,101123,Bachelor,Female,Unemployed,Widowed,2,Yes,Rural,Medium,Always,8,1,Never,Social Media,Yes,Low,Medium,NO
109,26,35581,No Formal Education,Male,Retired,Married,5,No,Rural,Medium,Always,1,4,Regularly,TV,No,Medium,Medium,YES
110,32,103929,PhD,Male,Self-employed,Widowed,1,No,Suburban,Medium,Often,5,5,Never,Internet,No,Low,High,NO
111,59,38051,Bachelor,Other,Employed,Divorced,1,No,Rural,Low,Never,1,4,Occasionally,Social Media,No,Low,Low,NO
112,68,66474,PhD,Female,Student,Widowed,1,No,Suburban,High,Always,3,1,Never,Newspaper,Yes,Low,Medium,YES
113,80,106748,Bachelor,Male,Self-employed,Single,3,Yes,Rural,Low,Often,7,4,Never,Newspaper,Yes,Low,Medium,YES
114,69,140995,Master,Female,Self-employed,Divorced,2,No,Urban,Low,Never,6,8,Never,TV,Yes,Medium,High,NO
115,21,84626,High School,Female,Unemployed,Married,1,No,Rural,Low,Often,8,3,Regularly,TV,Yes,High,Low,NO
116,40,21960,High School,Other,Student,Married,1,Yes,Rural,Medium,Rarely,6,9,Occasionally,Social Media,No,Medium,Low,YES
117,32,51408,PhD,Female,Retired,Divorced,5,No,Suburban,Low,Never,0,1,Occasionally,Internet,Yes,Medium,Low,NO
118,60,109006,High School,Other,Self-employed,Widowed,5,No,Rural,High,Always,1,2,Never,TV,Yes,Medium,Low,NO
119,46,72134,PhD,Male,Retired,Married,1,No,Urban,Low,Always,5,2,Regularly,Social Media,Yes,Low,High,NO
120,53,147413,PhD,Female,Self-employed,Single,0,Yes,Urban,Medium,Rarely,6,8,Regularly,Internet,No,High,Medium,YES
121,30,105327,PhD,Male,Retired,Divorced,3,No,Rural,High,Never,2,3,Occasionally,TV,No,Low,Medium,NO
122,49,146410,High School,Female,Student,Single,5,No,Rural,High,Often,8,0,Regularly,TV,No,Medium,Low,NO
123,88,26344,PhD,Male,Unemployed,Divorced,0,Yes,Urban,High,Always,6,0,Never,Social Media,Yes,Low,Low,NO
124,76,147822,High School,Female,Student,Married,3,Yes,Suburban,High,Rarely,5,6,Never,TV,No,High,Low,NO
125,45,82957,PhD,Female,Employed,Widowed,1,No,Urban,Low,Rarely,5,6,Regularly,Newspaper,No,High,Medium,YES
126,83,120423,No Formal Education,Female,Unemployed,Divorced,2,No,Urban,Medium,Never,0,1,Never,Internet,Yes,Low,Medium,YES
127,59,73053,PhD,Female,Student,Divorced,4,Yes,Rural,High,Never,4,8,Occasionally,Internet,No,Medium,Low,NO
128,62,92454,Bachelor,Female,Employed,Single,4,No,Rural,High,Always,9,8,Never,Newspaper,Yes,Low,High,NO
129,79,105600,PhD,Female,Self-employed,Married,1,Yes,Urban,Medium,Rarely,2,4,Regularly,Social Media,Yes,Medium,Medium,NO
130,74,137732,Master,Female,Self-employed,Single,5,No,Suburban,Low,Often,6,2,Occasionally,Newspaper,No,High,Medium,YES
131,23,52641,PhD,Female,Retired,Married,0,Yes,Urban,High,Rarely,9,2,Never,Newspaper,Yes,Low,Low,YES
132,45,44711,Bachelor,Female,Unemployed,Single,2,No,Urban,Low,Often,2,2,Occasionally,Internet,Yes,High,High,NO
133,45,85342,Bachelor,Male,Self-employed,Divorced,3,Yes,Suburban,Low,Often,4,5,Regularly,Social Media,Yes,Medium,Low,NO
134,61,121896,High School,Other,Unemployed,Single,1,Yes,Urban,Low,Always,6,3,Never,TV,Yes,Medium,Low,YES
135,47,102833,No Formal Education,Female,Self-employed,Widowed,2,Yes,Urban,Low,Rarely,2,7,Never,Newspaper,Yes,Low,High,NO
136,79,71276,PhD,Other,Retired,Married,2,Yes,Rural,High,Often,9,4,Occasionally,Newspaper,Yes,Low,High,NO
137,79,34541,High School,Female,Student,Married,5,Yes,Suburban,High,Never,1,0,Never,Social Media,No,Low,High,YES
138,18,109457,No Formal Education,Female,Retired,Divorced,3,No,Rural,Low,Often,5,8,Never,Newspaper,Yes,High,Medium,YES
139,44,59813,PhD,Male,Employed,Married,2,No,Rural,Low,Never,7,0,Never,Social Media,Yes,Medium,Low,YES
140,79,39070,Master,Male,Self-employed,Widowed,5,Yes,Suburban,Medium,Never,3,5,Never,TV,Yes,Medium,Medium,YES
141,20,95559,PhD,Other,Employed,Single,0,No,Suburban,Medium,Rarely,8,0,Regularly,Social Media,Yes,High,High,YES
142,87,56786,Bachelor,Male,Employed,Divorced,5,No,Urban,Medium,Never,7,2,Never,TV,No,Low,Medium,NO
143,89,51062,Bachelor,Male,Unemployed,Widowed,0,No,Rural,High,Often,6,9,Occasionally,Social Media,No,Low,High,YES
144,44,66571,Master,Other,Self-employed,Married,0,No,Suburban,Medium,Never,6,4,Regularly,Newspaper,Yes,High,High,YES
145,26,40510,High School,Male,Employed,Married,2,No,Rural,High,Rarely,2,9,Occasionally,TV,No,Medium,Low,YES
146,79,34426,No Formal Education,Female,Student,Widowed,5,No,Rural,High,Always,5,6,Occasionally,Newspaper,Yes,Medium,Low,YES
147,54,52265,PhD,Other,Employed,Single,0,Yes,Suburban,High,Often,4,9,Occasionally,TV,Yes,Medium,Low,YES
148,68,81150,Bachelor,Other,Student,Single,3,No,Urban,High,Often,0,7,Regularly,Social Media,Yes,Medium,Medium,YES
149,61,102312,High School,Female,Unemployed,Divorced,2,No,Rural,Medium,Rarely,2,8,Regularly,Social Media,Yes,High,Low,NO
150,41,104613,Master,Male,Employed,Married,5,No,Suburban,Low,Rarely,0,5,Regularly,Social Media,No,Medium,High,YES
151,76,89910,Bachelor,Other,Retired,Widowed,5,Yes,Urban,Low,Rarely,3,8,Never,Internet,No,High,Low,NO
152,49,67375,Master,Other,Unemployed,Single,4,No,Rural,Low,Rarely,9,7,Occasionally,Internet,Yes,Low,Medium,NO
153,69,136826,PhD,Female,Student,Divorced,5,No,Suburban,Medium,Often,2,8,Regularly,TV,Yes,High,Low,YES
154,79,50435,No Formal Education,Female,Unemployed,Married,2,No,Rural,Low,Always,3,9,Occasionally,Internet,No,Medium,Low,YES
155,75,111443,Bachelor,Male,Employed,Married,3,Yes,Suburban,Medium,Never,8,3,Regularly,Social Media,No,Low,Low,NO
156,69,149055,Bachelor,Other,Self-employed,Divorced,5,No,Suburban,Medium,Never,2,8,Regularly,Internet,Yes,High,Medium,NO
157,29,38510,PhD,Male,Self-employed,Divorced,4,Yes,Rural,Medium,Always,5,6,Regularly,Internet,No,High,High,NO
158,56,109071,High School,Male,Student,Single,2,No,Rural,Low,Always,5,4,Occasionally,Newspaper,Yes,High,High,YES
159,19,21640,No Formal Education,Female,Student,Widowed,0,Yes,Suburban,Low,Always,6,4,Never,TV,No,Low,High,NO
160,20,59547,Bachelor,Other,Self-employed,Married,1,Yes,Urban,Low,Rarely,8,0,Regularly,TV,No,High,Low,YES
161,73,69620,No Formal Education,Other,Student,Widowed,1,Yes,Rural,High,Often,6,1,Regularly,TV,No,Medium,Low,YES
162,76,130608,Bachelor,Other,Unemployed,Married,0,No,Suburban,Medium,Often,0,9,Regularly,Internet,No,Low,Medium,NO
163,19,22564,No Formal Education,Female,Retired,Married,5,Yes,Suburban,High,Often,7,2,Never,Social Media,Yes,Low,High,YES
164,19,128824,Master,Female,Retired,Widowed,1,Yes,Urban,Medium,Rarely,4,7,Occasionally,Newspaper,Yes,High,Low,YES
165,71,94273,Bachelor,Female,Unemployed,Divorced,1,Yes,Urban,Low,Often,8,5,Occasionally,TV,No,Medium,Low,NO
166,18,89859,No Formal Education,Female,Retired,Single,0,Yes,Urban,Medium,Rarely,9,9,Occasionally,Internet,Yes,Low,Low,NO
167,36,125017,High School,Female,Employed,Married,5,No,Rural,Medium,Often,4,4,Occasionally,Social Media,No,High,Medium,YES
168,19,138618,Master,Other,Unemployed,Divorced,5,No,Suburban,High,Always,4,0,Regularly,Newspaper,No,Medium,High,NO
169,70,140341,Master,Male,Student,Married,0,No,Suburban,Medium,Never,1,8,Never,Newspaper,Yes,High,Medium,YES
170,61,44430,High School,Other,Unemployed,Single,5,No,Suburban,Low,Never,2,2,Regularly,TV,Yes,High,High,NO
171,49,42788,No Formal Education,Male,Self-employed,Married,5,Yes,Urban,Medium,Rarely,9,2,Never,TV,Yes,Low,High,NO
172,87,84346,PhD,Female,Student,Single,2,No,Suburban,Medium,Often,8,1,Occasionally,Social Media,No,Low,Low,NO
173,49,111122,High School,Male,Self-employed,Single,2,Yes,Rural,Medium,Never,6,3,Never,Internet,Yes,High,Low,NO
174,85,54974,No Formal Education,Other,Student,Married,0,No,Urban,High,Always,0,1,Regularly,Social Media,Yes,Low,Low,YES
175,72,122309,High School,Other,Retired,Married,3,No,Urban,Medium,Always,2,8,Regularly,TV,Yes,Low,Low,NO
176,73,31371,High School,Male,Unemployed,Single,1,No,Urban,Medium,Always,1,9,Occasionally,Social Media,Yes,Medium,Low,YES
177,34,60084,Bachelor,Female,Employed,Divorced,2,Yes,Urban,High,Rarely,0,6,Regularly,Internet,No,Medium,High,YES
178,55,76916,No Formal Education,Female,Student,Widowed,1,No,Rural,High,Rarely,8,7,Regularly,Newspaper,No,High,Low,NO
179,41,88972,PhD,Other,Student,Single,4,No,Suburban,High,Often,7,2,Never,Newspaper,No,High,Low,NO
180,86,27984,Bachelor,Male,Self-employed,Married,0,No,Rural,High,Always,4,5,Regularly,Newspaper,No,High,Medium,NO
181,87,48039,High School,Female,Retired,Married,3,Yes,Suburban,Low,Often,1,9,Occasionally,Newspaper,No,High,Medium,NO
182,28,100431,High School,Female,Self-employed,Divorced,4,No,Rural,Low,Often,0,5,Occasionally,TV,No,Medium,High,NO
183,33,98691,High School,Other,Self-employed,Widowed,4,No,Urban,Medium,Always,6,0,Regularly,TV,No,Low,High,YES
184,76,73606,No Formal Education,Female,Retired,Single,5,Yes,Urban,Low,Often,1,5,Occasionally,Internet,Yes,Medium,Medium,NO
185,87,117665,No Formal Education,Male,Employed,Single,4,Yes,Rural,Medium,Never,0,2,Never,Internet,No,High,Medium,YES
186,20,120373,Bachelor,Other,Self-employed,Widowed,0,No,Rural,Low,Rarely,1,2,Never,Internet,No,High,Low,YES
187,37,39574,PhD,Other,Self-employed,Single,2,No,Suburban,High,Often,6,2,Regularly,Internet,No,Medium,Low,YES
188,76,149502,Bachelor,Male,Student,Widowed,0,No,Rural,High,Always,6,9,Regularly,Social Media,No,Medium,High,YES
189,53,47733,Master,Other,Retired,Married,2,Yes,Rural,Low,Rarely,9,9,Never,Internet,Yes,High,Medium,NO
190,36,17050,High School,Female,Unemployed,Widowed,4,Yes,Suburban,Low,Rarely,5,7,Occasionally,Newspaper,No,Low,High,NO
191,84,124996,High School,Female,Employed,Single,4,Yes,Suburban,Medium,Often,4,4,Regularly,Newspaper,No,High,Low,YES
192,36,48933,High School,Male,Employed,Widowed,3,No,Suburban,Medium,Never,2,3,Regularly,Newspaper,Yes,Medium,High,YES
193,37,39951,Bachelor,Female,Retired,Divorced,2,Yes,Rural,Medium,Often,2,8,Occasionally,Social Media,No,High,High,NO
194,88,47413,Bachelor,Male,Student,Married,4,No,Suburban,High,Never,8,8,Regularly,Internet,No,High,High,YES
195,69,127573,High School,Male,Student,Married,5,Yes,Urban,High,Rarely,3,0,Occasionally,Newspaper,No,Low,Low,NO
196,50,137744,Bachelor,Female,Retired,Widowed,1,Yes,Urban,High,Often,8,1,Occasionally,Newspaper,No,High,High,YES
197,57,104431,No Formal Education,Male,Student,Single,3,Yes,Urban,High,Always,3,7,Occasionally,Newspaper,No,High,Low,NO
198,56,58001,No Formal Education,Female,Employed,Divorced,0,No,Rural,Medium,Often,1,4,Occasionally,Newspaper,No,High,Medium,YES
199,18,82364,Bachelor,Other,Employed,Married,3,No,Urban,High,Never,3,6,Occasionally,TV,No,Medium,High,YES
200,28,139988,High School,Other,Unemployed,Married,1,No,Rural,High,Never,5,0,Never,Internet,Yes,Medium,High,YES
201,74,60028,Bachelor,Male,Retired,Single,2,No,Rural,High,Often,5,9,Occasionally,Internet,Yes,Low,Low,NO
202,67,146878,Bachelor,Female,Self-employed,Single,0,Yes,Urban,High,Never,4,4,Never,Social Media,No,High,High,NO
203,40,139343,Bachelor,Female,Self-employed,Divorced,0,No,Suburban,Low,Rarely,0,2,Occasionally,TV,Yes,Medium,Low,NO
204,48,143301,Master,Other,Unemployed,Widowed,2,Yes,Rural,Medium,Often,2,9,Regularly,Social Media,No,Low,High,YES
205,59,141295,No Formal Education,Other,Unemployed,Single,3,No,Urban,Medium,Never,4,1,Never,Newspaper,Yes,High,Medium,YES
206,24,49636,PhD,Female,Student,Widowed,4,No,Rural,High,Often,5,1,Regularly,Social Media,No,Low,Medium,YES
207,33,39262,PhD,Male,Unemployed,Divorced,3,Yes,Suburban,Low,Often,0,8,Occasionally,Newspaper,Yes,Low,Medium,YES
208,77,95435,Master,Other,Unemployed,Widowed,1,Yes,Suburban,Medium,Always,8,3,Occasionally,Newspaper,No,Low,High,YES
209,19,143583,Bachelor,Male,Self-employed,Married,5,No,Urban,Medium,Often,2,3,Regularly,Internet,Yes,Low,High,YES
210,18,56844,Master,Male,Student,Widowed,4,No,Rural,High,Always,9,6,Occasionally,Internet,Yes,Low,Medium,NO
211,65,79754,Master,Other,Unemployed,Divorced,3,Yes,Rural,High,Never,2,9,Regularly,Internet,No,Low,Medium,NO
212,29,92129,High School,Male,Unemployed,Divorced,5,Yes,Rural,Medium,Always,1,9,Occasionally,Internet,No,Low,Low,NO
213,86,55042,No Formal Education,Male,Student,Divorced,5,Yes,Rural,Medium,Always,7,1,Occasionally,Internet,Yes,High,Low,YES
