age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
73,technician,divorced,secondary,no,43820,no,no,cellular,12,apr,1611,3,-1,0,unknown,no
30,unemployed,married,primary,no,59925,no,yes,telephone,15,oct,51,3,111,3,success,yes
85,student,single,secondary,no,4258,yes,no,cellular,3,feb,3457,16,-1,0,unknown,no
20,unemployed,married,secondary,no,54261,yes,no,cellular,6,nov,2767,3,-1,0,unknown,yes
85,self-employed,married,unknown,no,49177,no,yes,cellular,12,may,3091,1,-1,0,unknown,no
48,unemployed,married,tertiary,no,41583,yes,no,cellular,21,mar,3431,15,-1,0,unknown,yes
41,services,single,tertiary,no,36462,yes,no,telephone,11,may,2141,13,-1,0,unknown,yes
50,admin.,married,secondary,no,4265,no,no,cellular,12,jul,1668,15,-1,0,unknown,no
67,blue-collar,divorced,secondary,no,66062,yes,yes,cellular,14,oct,3398,6,-1,0,unknown,yes
28,blue-collar,married,secondary,no,53851,yes,no,cellular,24,jun,2548,14,30,2,success,yes
83,unemployed,single,primary,no,86878,no,yes,cellular,25,nov,1530,12,-1,0,unknown,yes
37,unemployed,married,secondary,no,8077,yes,no,cellular,21,may,1052,4,96,8,success,yes
33,retired,married,tertiary,no,78199,yes,no,cellular,4,mar,3523,3,-1,0,unknown,yes
74,technician,married,unknown,no,85535,yes,yes,cellular,29,may,3517,6,-1,0,unknown,yes
40,blue-collar,married,primary,no,16202,yes,no,cellular,19,jun,1944,18,45,2,failure,yes
79,self-employed,married,secondary,no,14426,no,no,cellular,22,sep,1441,5,-1,0,unknown,yes
41,services,married,tertiary,no,14274,yes,no,cellular,30,dec,953,12,-1,0,unknown,yes
54,technician,single,secondary,no,14406,no,no,cellular,21,mar,2454,19,338,10,success,yes
90,admin.,married,primary,no,82076,no,no,cellular,19,jul,2561,1,-1,0,unknown,yes
55,unemployed,divorced,secondary,no,87783,yes,no,cellular,6,aug,1732,16,-1,0,unknown,yes
36,blue-collar,married,secondary,no,43268,no,yes,cellular,18,feb,1337,8,-1,0,unknown,yes
49,services,single,secondary,no,78658,yes,no,telephone,27,jun,2396,11,82,8,other,yes
57,entrepreneur,single,unknown,no,29552,yes,no,cellular,16,oct,3482,16,5,2,failure,yes
64,student,married,secondary,no,23513,yes,no,cellular,15,sep,1175,20,-1,0,unknown,no
30,student,married,unknown,no,45920,no,no,cellular,17,jan,215,2,171,8,success,no
83,services,married,secondary,no,78805,no,no,cellular,27,sep,2210,16,-1,0,unknown,yes
20,blue-collar,married,primary,no,38327,no,no,cellular,1,oct,1973,9,-1,0,unknown,yes
47,admin.,married,primary,no,79230,no,no,telephone,8,jan,2375,4,226,6,failure,yes
44,student,married,secondary,no,94447,no,no,cellular,18,jun,2742,16,-1,0,unknown,yes
40,entrepreneur,divorced,secondary,no,99186,no,no,telephone,9,oct,2013,7,-1,0,unknown,yes
56,management,divorced,unknown,no,90392,yes,no,cellular,12,sep,3287,9,294,9,failure,yes
62,services,single,secondary,no,43398,no,no,telephone,7,apr,3421,18,288,5,failure,yes
48,management,single,tertiary,no,28518,yes,no,telephone,4,nov,3187,5,282,3,failure,yes
78,entrepreneur,married,tertiary,no,35409,no,no,cellular,19,apr,2221,2,-1,0,unknown,no
40,admin.,divorced,secondary,no,96173,no,no,telephone,1,may,2356,20,172,5,success,yes
85,entrepreneur,divorced,primary,no,33761,yes,yes,cellular,15,nov,1083,6,173,5,success,yes
40,housemaid,married,tertiary,no,65538,yes,no,cellular,5,aug,1355,8,197,4,failure,yes
60,retired,married,secondary,no,45127,no,yes,cellular,10,mar,1690,17,-1,0,unknown,yes
57,technician,married,unknown,no,26947,yes,yes,cellular,24,oct,1560,14,-1,0,unknown,no
78,self-employed,married,tertiary,no,87173,no,no,cellular,15,sep,2912,12,289,2,unknown,yes
82,management,married,primary,no,66202,yes,no,telephone,16,feb,2120,15,-1,0,unknown,yes
83,student,married,primary,no,38392,no,no,telephone,24,apr,2398,3,177,2,success,no
26,entrepreneur,single,secondary,no,98378,no,no,unknown,12,jul,1867,13,-1,0,unknown,yes
87,services,married,secondary,no,68419,yes,yes,unknown,27,jan,3127,1,-1,0,unknown,yes
87,student,married,tertiary,no,43371,yes,no,telephone,25,feb,161,14,-1,0,unknown,no
20,management,single,primary,no,76352,no,no,cellular,2,jul,1827,8,-1,0,unknown,yes
25,services,married,secondary,no,93881,yes,no,telephone,27,jun,1000,10,-1,0,unknown,yes
84,management,married,secondary,no,75550,no,no,cellular,14,sep,2060,2,-1,0,unknown,yes
66,self-employed,married,secondary,no,47343,yes,no,cellular,8,may,3542,5,-1,0,unknown,yes
89,student,divorced,secondary,no,29831,yes,no,cellular,15,jun,408,18,-1,0,unknown,no
52,student,married,secondary,no,22662,no,no,cellular,7,aug,885,11,8,4,other,yes
33,entrepreneur,divorced,tertiary,no,49987,no,no,telephone,13,aug,2215,12,185,9,other,yes
78,blue-collar,divorced,secondary,no,71731,no,no,cellular,18,oct,2402,14,101,6,failure,yes
49,entrepreneur,married,unknown,no,98055,no,no,cellular,16,aug,719,12,280,8,failure,yes
25,self-employed,single,tertiary,no,85584,yes,yes,cellular,21,apr,308,5,259,8,failure,yes
79,unemployed,married,primary,no,-447,yes,no,cellular,10,jan,2087,14,-1,0,unknown,no
40,technician,divorced,secondary,no,79235,yes,no,cellular,13,feb,1558,13,-1,0,unknown,yes
46,retired,married,tertiary,no,83182,no,yes,cellular,18,aug,259,1,-1,0,unknown,no
28,entrepreneur,married,secondary,no,10499,no,no,cellular,29,dec,2351,16,39,5,other,yes
22,services,divorced,secondary,no,74943,yes,no,telephone,30,feb,1255,6,-1,0,unknown,yes
67,unemployed,divorced,secondary,no,16343,no,no,cellular,24,jun,249,4,-1,0,unknown,yes
61,housemaid,married,unknown,no,99391,yes,no,telephone,15,aug,964,12,-1,0,unknown,yes
41,unemployed,married,secondary,no,36715,no,no,cellular,5,jul,2945,5,-1,0,unknown,yes
31,technician,single,secondary,no,33358,yes,yes,cellular,18,sep,2128,14,46,6,success,yes
59,student,single,secondary,no,93006,no,no,unknown,19,sep,724,13,138,5,failure,no
39,student,single,secondary,no,45333,yes,no,cellular,20,oct,830,15,156,1,other,yes
66,blue-collar,married,secondary,no,83332,no,yes,cellular,31,dec,852,16,204,6,failure,yes
80,housemaid,married,secondary,no,49502,yes,no,cellular,18,mar,2822,18,237,4,failure,yes
26,student,married,primary,no,31119,no,no,telephone,3,aug,2479,16,-1,0,unknown,yes
71,self-employed,single,unknown,no,68373,no,no,cellular,8,nov,2752,12,314,1,success,yes
69,blue-collar,divorced,secondary,yes,31913,yes,no,cellular,23,oct,935,15,-1,0,unknown,no
77,unemployed,married,secondary,no,1219,yes,no,telephone,3,feb,3435,5,176,8,other,no
84,entrepreneur,married,primary,no,57303,yes,no,telephone,4,jan,3508,11,-1,0,unknown,yes
39,management,married,secondary,no,53885,no,no,cellular,6,mar,2653,14,-1,0,unknown,yes
43,entrepreneur,married,secondary,no,24972,yes,no,telephone,19,feb,3304,18,167,4,success,yes
80,self-employed,divorced,secondary,no,49451,no,no,telephone,20,mar,3363,10,-1,0,unknown,yes
35,blue-collar,single,secondary,no,88890,yes,no,cellular,19,jul,1762,6,-1,0,unknown,yes
40,self-employed,single,secondary,no,57113,no,no,unknown,16,mar,829,13,-1,0,unknown,yes
81,student,married,secondary,no,62054,yes,no,telephone,8,may,163,9,148,3,other,no
90,entrepreneur,married,primary,no,99595,yes,no,cellular,25,jan,3142,15,-1,0,unknown,yes
31,unemployed,married,secondary,no,56947,yes,no,cellular,28,feb,3206,8,302,6,other,yes
72,services,married,tertiary,no,5780,yes,no,cellular,6,jun,2913,10,137,9,other,yes
30,services,divorced,tertiary,no,34349,no,yes,telephone,8,mar,2943,11,-1,0,unknown,yes
68,entrepreneur,single,secondary,no,47174,yes,no,telephone,3,jul,2141,9,-1,0,unknown,yes
76,entrepreneur,married,primary,no,94039,yes,no,cellular,23,jun,3512,3,-1,0,unknown,yes
72,management,married,secondary,no,69737,yes,no,cellular,11,nov,3152,2,321,8,unknown,yes
38,entrepreneur,married,unknown,no,88255,no,no,cellular,28,may,412,12,191,3,unknown,yes
47,student,married,tertiary,yes,60496,yes,no,cellular,15,jan,63,11,-1,0,unknown,no
72,services,married,secondary,no,11425,yes,no,cellular,13,mar,2657,5,289,1,success,no
62,management,married,primary,no,87989,yes,no,telephone,5,feb,2444,13,-1,0,unknown,yes
35,management,single,primary,no,76644,no,no,telephone,1,nov,1265,7,-1,0,unknown,yes
68,retired,married,tertiary,no,29370,yes,yes,cellular,20,feb,2193,1,-1,0,unknown,yes
34,student,married,secondary,no,87514,yes,no,unknown,3,jan,2435,3,111,1,other,yes
68,self-employed,single,tertiary,no,53518,no,yes,cellular,20,mar,1166,3,262,4,other,no
59,student,married,tertiary,no,82299,yes,no,telephone,28,apr,267,8,223,2,success,yes
57,unemployed,married,tertiary,no,90785,yes,yes,cellular,12,sep,2148,9,65,5,success,no
21,blue-collar,married,secondary,no,91365,no,no,cellular,17,jun,257,16,-1,0,unknown,no
39,blue-collar,single,tertiary,no,86358,no,no,cellular,2,jan,1031,2,-1,0,unknown,yes
37,services,divorced,tertiary,no,91588,no,no,cellular,14,dec,1340,9,-1,0,unknown,yes
33,self-employed,married,primary,no,65603,no,no,cellular,15,may,3198,10,284,8,unknown,yes
90,retired,married,secondary,no,62665,no,no,telephone,18,apr,646,1,-1,0,unknown,no
87,blue-collar,married,tertiary,yes,41911,yes,no,telephone,24,may,455,7,-1,0,unknown,no
48,student,married,primary,no,91277,yes,yes,cellular,28,sep,1721,12,-1,0,unknown,no
28,housemaid,single,primary,no,7808,no,yes,cellular,5,apr,1224,9,-1,0,unknown,yes
68,blue-collar,married,secondary,no,24569,yes,no,cellular,4,mar,1871,15,62,9,failure,yes
75,retired,married,tertiary,no,87922,yes,no,cellular,7,jun,637,3,-1,0,unknown,yes
68,self-employed,single,secondary,no,20789,yes,no,cellular,24,sep,1053,4,-1,0,unknown,yes
35,technician,single,tertiary,no,15133,yes,no,cellular,31,nov,374,19,-1,0,unknown,yes
27,admin.,divorced,secondary,no,14880,yes,no,telephone,4,jan,1918,2,294,7,other,yes
21,student,married,primary,no,22530,yes,no,cellular,20,oct,2557,8,-1,0,unknown,yes
88,entrepreneur,single,secondary,no,24143,no,no,cellular,26,sep,3285,1,-1,0,unknown,yes
63,entrepreneur,married,secondary,no,63849,yes,no,cellular,20,apr,150,9,242,9,failure,no
47,services,single,secondary,no,94607,yes,no,cellular,28,jul,1483,6,304,6,other,yes
21,blue-collar,divorced,secondary,no,22672,no,no,unknown,18,may,749,16,29,4,success,no
79,admin.,married,secondary,no,42663,no,no,telephone,11,jan,119,5,-1,0,unknown,yes
32,self-employed,married,unknown,no,84787,yes,yes,cellular,5,mar,3029,14,-1,0,unknown,no
80,unemployed,married,tertiary,no,78440,no,no,cellular,6,jul,1286,10,1,10,failure,yes
90,admin.,single,secondary,no,78134,yes,no,telephone,5,jun,3082,3,164,3,success,yes
60,entrepreneur,single,secondary,no,43938,yes,yes,cellular,13,aug,3030,14,-1,0,unknown,no
70,entrepreneur,divorced,secondary,no,60847,no,no,telephone,8,mar,1878,3,-1,0,unknown,no
20,blue-collar,single,primary,no,47212,yes,yes,telephone,3,jun,2463,20,-1,0,unknown,no
21,student,divorced,primary,no,18591,yes,no,unknown,14,dec,2299,18,145,5,failure,no
88,entrepreneur,single,secondary,no,36607,no,no,cellular,4,jan,877,6,-1,0,unknown,yes
78,technician,married,secondary,no,84643,yes,no,cellular,12,jul,1543,6,-1,0,unknown,yes
77,retired,single,secondary,no,96596,no,yes,cellular,26,sep,1725,19,32,7,other,yes
86,unemployed,married,secondary,no,60424,yes,no,telephone,2,sep,2369,17,-1,0,unknown,yes
36,technician,divorced,secondary,no,19910,no,no,cellular,14,feb,2828,14,322,3,other,yes
26,technician,married,secondary,no,34202,yes,no,cellular,23,oct,2436,17,-1,0,unknown,no
37,services,married,secondary,no,11133,no,no,cellular,10,sep,1438,14,336,8,success,yes
40,retired,married,secondary,no,50654,yes,no,cellular,8,jan,3084,16,-1,0,unknown,yes
20,blue-collar,married,secondary,no,62437,no,no,unknown,8,mar,1260,15,-1,0,unknown,yes
71,housemaid,married,secondary,no,51368,no,no,telephone,27,jan,2140,6,364,9,failure,yes
85,housemaid,single,secondary,no,5553,yes,no,telephone,23,apr,1152,12,-1,0,unknown,yes
33,unemployed,single,secondary,no,21276,no,no,cellular,12,mar,3461,9,-1,0,unknown,yes
54,admin.,married,primary,no,26091,no,no,cellular,9,nov,1707,17,350,1,success,no
40,housemaid,married,secondary,no,38037,no,no,cellular,29,jul,3518,12,-1,0,unknown,yes
56,unemployed,married,secondary,no,-1037,yes,no,telephone,12,sep,2681,20,-1,0,unknown,no
56,unemployed,single,primary,no,81964,yes,no,cellular,31,nov,1253,7,124,1,other,yes
69,unemployed,married,primary,yes,63191,no,no,cellular,13,dec,174,19,-1,0,unknown,no
42,blue-collar,married,secondary,no,60355,no,no,cellular,28,mar,3473,18,50,8,failure,yes
89,services,divorced,tertiary,no,27131,yes,no,cellular,26,jun,1552,9,-1,0,unknown,yes
33,entrepreneur,single,secondary,no,79350,yes,no,cellular,28,nov,1593,17,28,3,failure,yes
70,housemaid,divorced,unknown,no,91804,yes,yes,cellular,6,jun,2628,2,141,4,other,no
38,entrepreneur,married,tertiary,no,54847,no,no,unknown,13,jan,184,18,192,1,other,no
85,management,single,primary,no,27657,no,no,cellular,13,sep,2441,10,24,5,other,yes
84,housemaid,married,secondary,no,15536,yes,no,cellular,7,mar,3355,13,115,3,failure,no
82,services,single,tertiary,no,47177,no,no,cellular,2,oct,226,4,-1,0,unknown,no
32,student,married,primary,no,89995,yes,no,cellular,10,jul,2740,4,-1,0,unknown,yes
35,student,married,primary,no,13431,yes,no,cellular,20,apr,3216,9,-1,0,unknown,yes
63,student,single,primary,no,25222,no,no,cellular,1,nov,394,4,-1,0,unknown,yes
37,technician,married,primary,no,31540,no,no,unknown,9,aug,235,4,-1,0,unknown,yes
55,blue-collar,married,secondary,no,10451,no,no,cellular,5,nov,2680,6,225,10,failure,yes
65,blue-collar,single,secondary,no,33629,no,no,cellular,14,nov,3294,6,357,1,other,yes
31,student,divorced,secondary,no,55430,yes,no,cellular,1,nov,3464,5,-1,0,unknown,yes
70,entrepreneur,single,secondary,no,90349,no,no,telephone,24,oct,947,11,-1,0,unknown,yes
30,student,married,secondary,no,86643,no,yes,telephone,29,oct,253,1,-1,0,unknown,no
38,self-employed,married,tertiary,no,7812,no,no,cellular,9,jan,2106,8,-1,0,unknown,yes
48,technician,married,tertiary,no,63333,yes,yes,cellular,21,jan,450,13,-1,0,unknown,no
89,self-employed,single,primary,no,79142,no,no,cellular,21,nov,1898,11,-1,0,unknown,no
46,entrepreneur,married,tertiary,no,91933,no,no,cellular,25,nov,938,1,325,5,success,yes
31,admin.,divorced,secondary,no,95322,no,yes,cellular,7,feb,3520,13,98,6,failure,yes
33,entrepreneur,married,secondary,no,63382,yes,no,cellular,14,oct,2008,17,-1,0,unknown,yes
40,services,single,secondary,no,40184,yes,no,unknown,30,dec,3152,8,176,5,success,no
70,housemaid,married,tertiary,no,89946,yes,no,telephone,18,nov,920,7,149,6,other,no
40,self-employed,married,secondary,no,97716,yes,no,cellular,22,dec,1739,18,217,1,success,no
36,admin.,married,secondary,no,19094,no,no,cellular,2,dec,3242,10,278,1,failure,yes
89,management,married,secondary,no,89242,yes,no,telephone,13,jul,3258,11,-1,0,unknown,no
50,management,married,tertiary,no,27563,no,no,cellular,25,oct,2268,20,100,5,failure,yes
27,services,divorced,tertiary,no,3326,yes,no,cellular,19,may,53,11,-1,0,unknown,no
37,admin.,single,secondary,no,79968,no,no,cellular,19,sep,1496,3,-1,0,unknown,yes
46,services,married,tertiary,no,69182,yes,yes,cellular,7,nov,1389,11,-1,0,unknown,no
45,housemaid,married,unknown,no,83105,yes,no,cellular,29,nov,2543,20,21,6,failure,yes
32,student,single,tertiary,yes,65746,no,no,telephone,15,aug,209,10,-1,0,unknown,no
42,blue-collar,married,unknown,no,99360,yes,yes,cellular,22,nov,3198,7,-1,0,unknown,yes
31,management,married,tertiary,no,99607,yes,no,cellular,22,mar,127,15,-1,0,unknown,no
22,technician,single,primary,no,7232,yes,no,cellular,13,aug,2611,13,-1,0,unknown,no
33,self-employed,single,tertiary,no,95773,no,no,cellular,30,sep,464,10,-1,0,unknown,yes
29,retired,married,secondary,no,84602,yes,yes,cellular,24,jul,3293,18,325,3,failure,no
65,admin.,married,secondary,no,-1341,yes,no,cellular,3,may,890,12,331,9,failure,no
41,management,married,secondary,no,85946,no,no,telephone,30,sep,1919,18,344,2,failure,no
80,blue-collar,married,tertiary,no,35373,no,no,cellular,15,jun,2554,10,-1,0,unknown,no
90,blue-collar,married,unknown,no,39053,yes,no,telephone,14,may,3471,12,170,8,success,yes
57,entrepreneur,married,primary,no,34780,no,yes,cellular,9,dec,2596,3,-1,0,unknown,yes
82,unemployed,single,secondary,no,75337,yes,yes,cellular,29,sep,1963,5,-1,0,unknown,yes
55,services,married,secondary,no,63820,yes,no,unknown,20,nov,709,17,82,3,success,yes
36,entrepreneur,divorced,primary,no,28375,yes,no,cellular,7,sep,3271,12,-1,0,unknown,yes
23,admin.,divorced,secondary,no,66337,no,no,telephone,19,sep,2365,6,-1,0,unknown,yes
27,self-employed,single,unknown,no,51194,yes,no,cellular,16,oct,57,17,-1,0,unknown,no
74,services,single,secondary,no,17692,yes,no,telephone,4,nov,973,14,-1,0,unknown,yes
79,unemployed,married,secondary,no,51857,yes,yes,cellular,6,mar,2608,17,294,3,unknown,no
51,services,married,secondary,no,81574,yes,no,cellular,10,feb,917,15,-1,0,unknown,yes
79,services,single,secondary,no,74368,no,no,cellular,9,mar,2996,11,-1,0,unknown,yes
26,management,married,primary,yes,66512,no,no,cellular,5,oct,424,6,-1,0,unknown,no
22,self-employed,married,primary,no,15082,no,no,cellular,31,nov,2689,14,-1,0,unknown,yes
