Order ID,Product,Category,Quantity Ordered,Price Each,Order Date,City,Customer ID
126,Tablet,Electronics,4,545.52,2024-05-30 09:54:50,Chicago,5601
127,Camera,Electronics,4,807.95,2024-11-01 17:54:16,San Antonio,4724
128,Coffee Mug,Home Goods,2,886.05,2024-04-23 22:55:35,New York,4200
129,Hat,Apparel,5,863.25,2024-03-28 05:17:53,San Antonio,7838
130,Jeans,Apparel,5,956.81,2024-11-16 08:26:02,Chicago,4250
131,Jeans,Apparel,3,135.06,2024-09-09 12:47:37,Phoenix,4614
132,Smartphone,Electronics,4,499.56,2024-12-05 06:31:31,New York,1956
133,Pillow,Home Goods,5,981.12,2024-10-14 00:31:43,New York,6427
134,Headphones,Electronics,4,183.56,2024-02-03 12:10:07,San Antonio,3063
135,Smartphone,Electronics,4,831.92,2024-07-15 20:10:51,Houston,4626
136,Tablet,Electronics,4,349.64,2024-03-05 16:52:05,Phoenix,5464
137,Jacket,Apparel,3,124.43,2024-08-11 14:17:35,New York,7951
138,Blanket,Home Goods,5,29.89,2024-05-14 01:30:15,New York,1166
139,Laptop,Electronics,1,556.38,2024-08-17 01:25:36,San Antonio,5813
140,Chair,Home Goods,5,869.82,2024-10-19 15:18:02,Dallas,7321
141,Smartphone,Electronics,3,422.95,2024-03-28 15:31:25,San Antonio,3717
142,Blanket,Home Goods,3,760.32,2024-11-02 03:48:35,Los Angeles,1205
143,Jacket,Apparel,5,200.83,2024-12-11 20:02:35,Chicago,4905
144,Shoes,Apparel,2,325.93,2024-10-14 22:02:09,Dallas,7857
145,Hat,Apparel,4,455.92,2024-07-20 03:21:54,San Antonio,5407
146,T-shirt,Apparel,5,742.3,2024-09-03 03:08:44,Chicago,6053
147,Lamp,Home Goods,5,373.43,2024-10-17 09:01:36,Los Angeles,9792
148,Tablet,Electronics,2,96.82,2024-04-06 00:58:35,Los Angeles,8439
149,Tablet,Electronics,1,780.47,2024-01-28 09:01:27,Dallas,4777
150,Tablet,Electronics,1,99.63,2024-04-17 08:48:57,Chicago,9936
151,Pillow,Home Goods,5,307.26,2024-05-01 07:04:11,San Diego,6686
152,Lamp,Home Goods,3,825.1,2024-07-08 11:53:58,Phoenix,9689
153,Hat,Apparel,5,893.26,2024-04-06 04:50:26,Chicago,8611
154,T-shirt,Apparel,2,809.18,2024-04-06 06:38:25,Phoenix,2228
155,Coffee Mug,Home Goods,5,688.41,2024-01-25 15:29:35,Los Angeles,5268
156,Jeans,Apparel,2,330.81,2024-12-17 04:37:35,Chicago,1738
157,Shoes,Apparel,1,922.92,2024-04-26 09:15:18,Chicago,2191
158,Tablet,Electronics,1,601.99,2024-02-27 11:26:23,Houston,8486
159,Lamp,Home Goods,5,859.99,2024-02-05 20:37:14,Chicago,1905
160,Shoes,Apparel,3,128.3,2024-12-05 10:00:17,Phoenix,4924
161,Camera,Electronics,2,580.3,2024-09-13 13:08:43,San Diego,2767
162,Shoes,Apparel,2,43.31,2024-04-21 08:23:56,Chicago,6071
163,Pillow,Home Goods,3,768.88,2024-07-08 17:17:13,Houston,5703
164,Blanket,Home Goods,4,841.09,2024-03-07 01:24:08,Dallas,8803
165,Camera,Electronics,2,864.27,2024-08-01 05:59:51,Los Angeles,5116
166,Camera,Electronics,4,507.66,2024-04-29 08:15:08,San Antonio,1024
167,Jacket,Apparel,4,582.69,2024-01-28 02:32:06,Chicago,4292
168,Hat,Apparel,4,375.0,2024-11-26 15:04:08,Los Angeles,4495
169,Headphones,Electronics,1,782.36,2024-06-04 05:55:04,Houston,1264
170,Smartphone,Electronics,3,617.62,2024-04-02 04:31:29,Phoenix,3611
171,Coffee Mug,Home Goods,1,456.53,2024-09-27 20:55:06,San Antonio,6476
172,Jacket,Apparel,1,138.7,2024-07-24 03:33:41,San Diego,4744
173,Blanket,Home Goods,2,5.15,2024-10-13 07:27:42,San Antonio,5222
174,Camera,Electronics,3,501.77,2024-10-07 10:07:08,San Antonio,9109
175,Headphones,Electronics,2,322.28,2024-11-19 03:35:32,San Antonio,1128
176,Smartphone,Electronics,5,288.61,2024-10-17 16:16:43,Houston,3778
177,Jeans,Apparel,1,446.38,2024-11-10 15:37:10,San Diego,8583
178,Blanket,Home Goods,2,533.42,2024-07-14 06:14:28,Chicago,2462
179,Hat,Apparel,5,193.36,2024-08-01 06:19:18,Los Angeles,4734
180,Tablet,Electronics,1,662.77,2024-01-31 04:03:49,New York,5745
181,Camera,Electronics,5,313.96,2024-01-16 02:27:01,Chicago,9913
182,Laptop,Electronics,1,458.01,2024-10-22 09:44:16,Dallas,6153
183,Chair,Home Goods,4,855.55,2024-09-08 07:13:41,New York,3020
184,Tablet,Electronics,3,262.57,2024-02-28 07:51:30,Chicago,6306
185,T-shirt,Apparel,4,231.86,2024-12-21 08:26:28,Dallas,3990
186,Hat,Apparel,1,813.13,2024-04-22 21:24:33,Phoenix,1236
187,Smartphone,Electronics,3,979.99,2024-11-24 06:48:56,New York,1374
188,Jacket,Apparel,1,687.99,2024-07-23 19:58:27,New York,7124
189,Shoes,Apparel,1,196.35,2024-09-09 20:24:07,Los Angeles,6025
190,Lamp,Home Goods,1,701.92,2024-06-14 11:46:00,Los Angeles,4035
191,Blanket,Home Goods,4,355.05,2024-08-09 09:05:02,Houston,9339
192,Lamp,Home Goods,2,80.55,2024-09-14 15:20:28,Los Angeles,7618
193,Lamp,Home Goods,1,954.65,2024-07-08 08:06:45,Chicago,6248
194,Hat,Apparel,4,76.25,2024-01-18 14:02:22,San Antonio,5176
195,Hat,Apparel,2,599.23,2024-08-03 06:25:32,Los Angeles,1315
196,Smartphone,Electronics,5,215.2,2024-05-27 01:10:01,Houston,4280
197,Coffee Mug,Home Goods,3,214.18,2024-08-06 08:54:51,Dallas,8860
198,Chair,Home Goods,4,570.11,2024-06-05 16:28:06,New York,4853
199,Smartphone,Electronics,1,700.87,2024-02-16 23:21:14,Chicago,2431
200,Shoes,Apparel,5,351.2,2024-10-10 02:15:52,San Diego,4796
201,Chair,Home Goods,3,843.95,2024-12-03 20:02:00,Dallas,6256
202,Jeans,Apparel,3,344.01,2024-01-13 16:53:16,Los Angeles,9783
203,Tablet,Electronics,1,922.68,2024-01-12 00:26:21,Los Angeles,9742
204,Coffee Mug,Home Goods,2,202.47,2024-11-23 20:50:19,Houston,4782
205,Camera,Electronics,3,810.4,2024-10-10 08:16:52,San Antonio,2204
206,Laptop,Electronics,3,703.49,2024-08-10 05:11:49,Los Angeles,5618
207,Lamp,Home Goods,5,217.02,2024-02-21 19:16:47,San Diego,4745
208,Laptop,Electronics,5,740.2,2024-10-09 20:30:19,Los Angeles,7417
209,Shoes,Apparel,1,675.64,2024-03-29 03:59:22,Los Angeles,5196
210,Blanket,Home Goods,2,657.27,2024-09-27 06:30:07,New York,4955
211,Laptop,Electronics,3,728.36,2024-01-12 10:40:09,Chicago,3663
212,Blanket,Home Goods,2,722.3,2024-01-15 04:13:45,Dallas,6263
213,Lamp,Home Goods,3,499.64,2024-03-16 20:19:52,Houston,1721
214,Camera,Electronics,4,360.65,2024-04-10 19:39:07,Dallas,1864
215,Shoes,Apparel,1,283.08,2024-09-02 04:40:13,San Diego,2431
216,Smartphone,Electronics,4,456.52,2024-05-23 02:12:48,Phoenix,6538
217,Chair,Home Goods,4,906.02,2024-12-22 17:46:08,Los Angeles,9584
218,Coffee Mug,Home Goods,3,635.03,2024-07-10 20:55:19,New York,3009
219,Jacket,Apparel,3,405.75,2024-05-05 14:07:43,Chicago,3509
220,Lamp,Home Goods,5,975.01,2024-04-15 03:40:10,Los Angeles,4228
221,Chair,Home Goods,5,520.41,2024-09-06 18:36:04,New York,8799
222,Shoes,Apparel,2,125.87,2024-09-11 16:28:12,San Diego,1338
223,Lamp,Home Goods,3,715.09,2024-11-28 12:24:21,Houston,6267
224,Chair,Home Goods,2,994.03,2024-08-16 12:16:12,New York,7738
225,Jeans,Apparel,5,211.18,2024-06-22 20:56:27,Houston,7615
226,Pillow,Home Goods,1,459.01,2024-03-09 13:48:19,Phoenix,7742
227,Shoes,Apparel,5,570.14,2024-02-07 18:21:26,San Antonio,4094
228,Tablet,Electronics,4,522.11,2024-09-19 14:32:25,New York,2223
229,Camera,Electronics,5,106.5,2024-10-01 04:45:03,New York,6551
230,Camera,Electronics,4,819.49,2024-07-24 20:12:49,Houston,9100
231,Jeans,Apparel,3,39.56,2024-01-11 06:52:06,San Diego,4640
232,Shoes,Apparel,2,441.29,2024-10-13 09:35:15,Phoenix,4471
233,Lamp,Home Goods,4,696.47,2024-10-11 07:40:24,San Diego,6275
234,Camera,Electronics,2,866.71,2024-07-10 12:35:08,Phoenix,8811
235,Smartphone,Electronics,5,403.55,2024-02-15 19:22:11,Phoenix,2735
236,Jacket,Apparel,2,716.24,2024-06-25 16:05:55,Los Angeles,1213
237,Jacket,Apparel,1,621.2,2024-09-28 09:55:00,San Diego,2808
238,Jeans,Apparel,1,42.75,2024-02-02 10:35:42,Chicago,3768
239,Pillow,Home Goods,1,28.4,2024-07-30 02:15:44,Dallas,3680
240,Hat,Apparel,3,279.66,2024-06-12 04:16:54,Dallas,5632
241,Jacket,Apparel,4,229.47,2024-01-24 03:42:26,Los Angeles,9980
242,Camera,Electronics,1,131.29,2024-03-12 10:08:15,Phoenix,1410
243,Smartphone,Electronics,2,266.42,2024-02-24 01:41:21,San Diego,2752
244,Blanket,Home Goods,2,980.25,2024-11-18 05:53:08,New York,6340
245,Shoes,Apparel,5,641.23,2024-06-28 12:19:44,Chicago,3016
246,Lamp,Home Goods,1,193.11,2024-11-02 01:50:45,San Antonio,6378
247,Pillow,Home Goods,1,182.5,2024-10-14 01:39:36,Los Angeles,8025
248,T-shirt,Apparel,2,749.62,2024-03-25 23:01:10,Houston,7890
249,Pillow,Home Goods,4,860.23,2024-06-27 16:46:02,Houston,5714
250,Chair,Home Goods,3,836.46,2024-08-24 07:21:59,Phoenix,5528
251,Shoes,Apparel,4,819.31,2024-04-22 16:15:12,Los Angeles,5352
252,Laptop,Electronics,4,671.89,2024-02-20 19:39:41,Dallas,4231
253,Smartphone,Electronics,3,171.88,2024-09-12 00:11:52,San Antonio,3926
254,Pillow,Home Goods,3,302.87,2024-10-08 10:50:45,New York,9881
255,Camera,Electronics,4,429.2,2024-02-01 15:04:25,Chicago,4204
256,T-shirt,Apparel,5,467.0,2024-01-20 01:47:13,Phoenix,5983
257,Laptop,Electronics,5,733.6,2024-03-24 19:53:15,San Antonio,8930
258,Shoes,Apparel,5,468.68,2024-04-08 04:01:34,Dallas,7876
259,Shoes,Apparel,2,519.53,2024-05-19 18:33:49,San Diego,9205
260,Lamp,Home Goods,5,849.82,2024-11-29 09:55:50,San Diego,5916
261,Pillow,Home Goods,1,153.75,2024-03-11 22:39:14,New York,3293
262,Laptop,Electronics,4,484.24,2024-02-14 08:03:11,Los Angeles,9024
263,Smartphone,Electronics,3,881.88,2024-04-20 03:17:37,San Diego,8848
264,Hat,Apparel,4,225.53,2024-03-17 13:19:44,Phoenix,8566
265,Coffee Mug,Home Goods,4,870.16,2024-12-15 12:32:16,San Antonio,9065
266,Blanket,Home Goods,5,957.79,2024-07-31 05:31:24,Dallas,3154
267,Hat,Apparel,1,655.42,2024-11-01 22:13:34,Dallas,5224
268,Jeans,Apparel,3,446.64,2024-03-29 23:47:57,San Antonio,2392
269,Tablet,Electronics,4,259.1,2024-10-27 04:58:16,Phoenix,3807
270,Coffee Mug,Home Goods,5,818.35,2024-03-29 11:42:05,San Diego,1632
271,Lamp,Home Goods,4,988.65,2024-08-02 04:28:24,San Diego,7210
272,Smartphone,Electronics,3,92.74,2024-05-25 10:19:35,Houston,7539
273,Jeans,Apparel,5,9.43,2024-06-05 11:16:51,San Diego,2877
274,Lamp,Home Goods,1,520.85,2024-03-11 22:41:36,San Antonio,2635
275,Laptop,Electronics,3,599.8,2024-12-08 22:09:42,Phoenix,1036
276,Smartphone,Electronics,2,923.47,2024-05-27 08:00:36,Chicago,3904
277,Blanket,Home Goods,2,225.54,2024-05-01 22:29:40,Los Angeles,9228
278,Pillow,Home Goods,3,441.62,2024-06-08 02:30:38,Los Angeles,3294
279,Headphones,Electronics,5,970.63,2024-08-18 17:30:40,San Antonio,3055
280,Lamp,Home Goods,1,142.51,2024-07-04 13:45:22,Phoenix,3544
281,Chair,Home Goods,2,974.95,2024-03-01 15:13:22,Chicago,3777
282,Smartphone,Electronics,4,311.22,2024-04-25 23:11:22,Phoenix,4737
283,Coffee Mug,Home Goods,4,503.08,2024-12-02 22:36:41,New York,3691
284,Smartphone,Electronics,2,173.61,2024-09-18 21:08:40,Houston,9663
285,Chair,Home Goods,3,166.5,2024-09-30 00:16:30,San Diego,6622
286,Blanket,Home Goods,5,164.41,2024-01-18 15:05:39,New York,7491
287,Laptop,Electronics,1,642.82,2024-03-26 12:21:20,Phoenix,1793
288,Headphones,Electronics,4,330.77,2024-03-08 03:11:14,San Diego,9059
289,Pillow,Home Goods,2,741.65,2024-10-18 16:44:16,New York,6570
290,Camera,Electronics,4,968.09,2024-05-06 09:14:38,Chicago,5422
291,Chair,Home Goods,4,809.74,2024-08-29 02:03:07,Los Angeles,1004
292,T-shirt,Apparel,3,299.51,2024-12-06 14:04:59,New York,6958
293,Coffee Mug,Home Goods,5,273.19,2024-10-16 23:11:24,New York,8167
294,Pillow,Home Goods,5,393.64,2024-04-16 21:43:51,Houston,3015
295,Camera,Electronics,4,142.53,2024-12-15 08:35:22,San Diego,1647
296,Smartphone,Electronics,4,457.07,2024-02-03 16:46:29,San Antonio,1421
297,Smartphone,Electronics,2,27.8,2024-06-27 06:22:16,Phoenix,7219
298,Jeans,Apparel,5,569.57,2024-08-14 11:30:38,New York,9427
299,T-shirt,Apparel,4,481.24,2024-08-27 17:58:58,Phoenix,4682
300,Pillow,Home Goods,5,524.56,2024-01-13 00:13:15,Phoenix,5565
301,Shoes,Apparel,1,324.03,2024-07-28 07:06:05,San Antonio,7429
302,Jeans,Apparel,5,170.64,2024-06-25 18:59:16,Dallas,6025
303,Chair,Home Goods,2,613.38,2024-06-01 20:06:59,Los Angeles,7330
304,Camera,Electronics,5,686.01,2024-02-23 00:22:02,Los Angeles,3211
305,Laptop,Electronics,1,555.99,2024-12-16 07:08:35,Los Angeles,2581
306,Laptop,Electronics,3,144.31,2024-11-28 15:42:59,Houston,8087
307,Camera,Electronics,5,435.49,2024-08-26 06:36:00,New York,3705
308,Hat,Apparel,3,673.07,2024-08-27 14:49:41,New York,1792
309,Jacket,Apparel,2,81.13,2024-03-27 18:29:57,Los Angeles,8732
310,Chair,Home Goods,5,317.95,2024-08-13 05:37:42,Dallas,8534
311,Pillow,Home Goods,4,59.83,2024-02-19 12:25:12,New York,2480
312,Tablet,Electronics,5,487.27,2024-06-16 15:40:49,Houston,5483
313,Jacket,Apparel,3,693.69,2024-01-22 11:19:04,San Antonio,9703
314,T-shirt,Apparel,3,508.68,2024-02-04 15:43:48,Chicago,7335
315,Headphones,Electronics,3,448.98,2024-06-05 01:51:06,Phoenix,1709
316,Jeans,Apparel,1,786.45,2024-06-27 20:03:00,San Antonio,4180
317,T-shirt,Apparel,2,53.8,2024-08-09 23:37:04,San Diego,6593
318,Coffee Mug,Home Goods,3,760.96,2024-04-19 08:24:13,Houston,7875
319,Chair,Home Goods,4,572.29,2024-05-30 02:11:17,New York,1912
320,Pillow,Home Goods,5,847.12,2024-10-06 12:14:29,Houston,8962
321,Camera,Electronics,4,285.63,2024-06-10 06:18:22,Phoenix,7526
322,Camera,Electronics,1,853.55,2024-08-29 12:05:59,Houston,7646
323,Shoes,Apparel,3,984.88,2024-04-02 06:18:10,Los Angeles,1961
324,Smartphone,Electronics,1,752.95,2024-05-17 07:45:12,Houston,3382
325,Blanket,Home Goods,2,987.73,2024-07-19 11:30:42,Chicago,3746
326,Headphones,Electronics,5,187.25,2024-02-06 20:53:01,Houston,9058
327,Blanket,Home Goods,4,396.03,2024-10-24 03:01:26,Houston,5885
328,Blanket,Home Goods,5,71.25,2024-09-08 05:42:35,Houston,2883
329,Shoes,Apparel,2,363.56,2024-11-14 08:46:27,Chicago,3718
330,Pillow,Home Goods,2,843.06,2024-01-20 00:46:47,New York,6013
331,Shoes,Apparel,1,371.65,2024-11-19 18:08:19,San Diego,9933
332,Jacket,Apparel,3,884.11,2024-06-12 00:29:15,Houston,8225
333,T-shirt,Apparel,2,290.76,2024-10-27 20:20:37,Houston,1725
334,Shoes,Apparel,4,540.91,2024-03-15 13:37:47,Houston,5276
335,Jacket,Apparel,1,397.16,2024-02-28 15:15:59,Dallas,8730
336,Camera,Electronics,1,366.23,2024-07-20 16:35:02,New York,3800
337,Blanket,Home Goods,1,666.56,2024-01-30 03:01:01,San Antonio,1748
338,Lamp,Home Goods,1,299.05,2024-08-27 02:06:32,Phoenix,8124
339,Laptop,Electronics,3,819.48,2024-10-18 07:32:55,Phoenix,2463
340,Camera,Electronics,2,835.86,2024-04-14 05:29:35,New York,8034
341,Tablet,Electronics,1,171.01,2024-02-17 07:05:45,Chicago,1649
342,Smartphone,Electronics,1,190.72,2024-06-30 13:27:09,Phoenix,9569
343,Lamp,Home Goods,4,854.78,2024-11-13 01:15:50,Phoenix,1728
344,Shoes,Apparel,5,592.72,2024-11-23 04:15:31,Houston,5898
345,Shoes,Apparel,5,921.87,2024-07-21 14:36:12,San Diego,8798
346,Chair,Home Goods,2,782.51,2024-08-02 23:56:01,Houston,6112
347,Jeans,Apparel,1,874.73,2024-07-26 22:40:51,Phoenix,3103
348,Pillow,Home Goods,3,333.6,2024-03-25 10:45:32,New York,2118
349,Lamp,Home Goods,3,179.24,2024-03-22 02:21:48,San Antonio,5835
350,Laptop,Electronics,4,176.61,2024-12-04 18:26:36,Dallas,3365
351,Lamp,Home Goods,2,404.31,2024-11-28 07:21:00,San Diego,6618
352,Laptop,Electronics,4,970.42,2024-03-02 07:16:35,New York,8489
